token,tokenized,lemma,ne_label,pos
عمر,عمر,عُمَر,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
محمد,محمد,مُحَمَّد,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
تغلب,تغلب,تَغَلَّب,I-PERS,verb
بن,بن,بِن,I-PERS,noun_prop
علي,على,عَلَى,I-PERS,prep
بن,بن,بِن,I-PERS,noun_prop
محمود,محمود,مَحْمُود,I-PERS,noun_prop
الزين,الزين,زَيْن,I-PERS,noun
ابو,أبو,أَبُو,I-PERS,noun_prop
حفص,حفص,حفص,I-PERS,noun_prop
الزهري,الزهري,زُهَرِيّ,I-PERS,adj
القيمري,القيمري,قِيمَرِيّ,I-PERS,noun_prop
البيري,البيري,البيري,O,noun_prop
الحلبي,الحلبي,حَلَبِيّ,O,noun_prop
الشافعي,الشافعي,شافِعِيّ,B-PERS,adj
الحكيم,الحكيم,حَكِيم,O,noun_prop
.,.,.,O,punc
ممن,ممن,مِن,O,prep
تعانى,تعاني,عانَى,O,verb
الادب,الأدب,أَدَب,O,noun
ونظم,و+_نظم,نَظَّم,O,verb
قصيدة,قصيدة,قَصِيدَة,O,noun
في,في,فِي,O,prep
علم,علم,عَلِم,O,verb
العروض,العروض,عَرْض,O,noun
وكتب,و+_كتب,كَتَب,O,verb
عنه,عنه,عَن,O,prep
العز,العز,عِزّ,B-PERS,noun
بن,بن,بِن,I-PERS,noun_prop
فهد,فهد,فَهْد,I-PERS,noun_prop
في,في,فِي,O,prep
سنة,سنة,سَنَة,O,noun
احدى,إحدى,أَحَد,O,noun
وسبعين,و+_سبعين,سَبْع,O,noun
قوله,قوله,قَوْل,O,noun
:,:,:,O,punc
غير,غير,غَيْر,O,noun
ذلك,ذلك,ذٰلِكَ,O,pron_dem
مما,مما,مِن,O,prep
اودعته,أودعته,أَوْدَع,O,verb
في,في,فِي,O,prep
محل,محل,مَحَلّ,O,noun
اخر,آخر,آخَر,O,adj
،,،,،,O,punc
ومات,و+_مآت,مَأْتَى,O,noun
بعد,بعد,بُعْد,O,noun
ذلك,ذلك,ذٰلِكَ,O,pron_dem
.,.,.,O,punc
