"token","tokenized","lemma","ne_label","pos"
"خلف","خلف","خَلْف","B-PERS","noun"
"بن","بن","بِن","I-PERS","noun_prop"
"ابي","أبي","أَبِي","I-PERS","noun_prop"
"بكر","بكر","بَكْر","I-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"احمد","أحمد","أَحْمَد","I-PERS","noun_prop"
"الزين","الزين","زَيْن","I-PERS","noun"
"النحريري","النحريري","النحريري","I-PERS","noun_prop"
"المصري","المصري","مِصْرِيّ","I-PERS","adj"
"المالكي","المالكي","مالِكِيّ","I-PERS","noun"
"نزيل","نزيل","أَزال","O","verb"
"المدينة","المدينة","مَدِينَة","B-LOC","noun"
"النبوية","النبوية","نَبَوِيّ","I-LOC","adj"
".",".",".","O","punc"
"ولد","ولد","وَلَد","O","verb"
"تقريبا","تقريبا","تَقْرِيب","O","noun"
"سنة","سنة","سَنَة","O","noun"
"اربع","أربع","أَرْبَع","O","noun_prop"
"واربعين","و+_أربعين","أَرْبَع","O","noun"
"وسبعمائة","و+_سبعمائة","سَبْعمائَة","O","noun"
"وبحث","و+_بحث","بَحَث","O","verb"
"على","على","عَلَى","O","prep"
"الشيخ","الشيخ","شَيْخ","B-PERS","noun_prop"
"خليل","خليل","خَلِيل","I-PERS","noun_prop"
"بعض","ب+_عض","عَضّ","O","noun"
"مختصره","مختصرة","مُخْتَصَر","O","noun"
"وفي","و+_في","فِي","O","prep"
"شرح","شرح","شَرْح","O","noun"
"ابن","ابن","ٱِبْن","B-PERS","noun_prop"
"الحاجب","الحاجب","ٱِحْتِجاب","I-PERS","noun"
"وبرع","و+_برع","بَرَع","O","verb"
"في","في","فِي","O","prep"
"الفقه","الفقه","فِقْه","B-MISC","noun"
"وناب","و+_نأب","أَبَى","O","verb"
"في","في","فِي","O","prep"
"الحكم","الحكم","حُكْم","B-MISC","noun"
"وافتى","و+_أفتي","أَفْتَى","O","verb"
"ودرس","و+_درس","دَرْس","O","noun"
"وسمع","و+_سمع","سَمِع","O","verb"
"من","من","مِن","O","prep"
"القلانسي","القلانسي","القلانسي","B-PERS","noun_prop"
"الموطا","الموطأ","مَوْطَأ","O","noun"
"لابي","ل+_أبي","أَب","B-PERS","noun"
"مصعب","مصعب","مصعب","I-PERS","noun_prop"
"بفوت","ب+_فوت","فَوْت","I-PERS","noun"
"،","،","،","O","punc"
"ثم","ثم","ثُمَّ","O","adv"
"توجه","توجه","تَوَجَّه","O","verb"
"الى","إلى","إِلَى","O","prep"
"المدينة","المدينة","مَدِينَة","B-LOC","noun"
"فجاور","ف+_جاور","جاوَر","O","verb"
"بها","بها","بِ","O","prep"
"معنيا","معنيا","مَعْنَى","O","noun"
"بالتدريس","ب+_التدريس","تَدْرِيس","O","noun"
"والتحديث","و+_التحديث","تَحْدِيث","O","noun"
"والافادة","و+_الإفادة","إِفادَة","O","noun"
"والانجماع","والانجماع","والانجماع","O","noun_prop"
"والعبادة","و+_العبادة","عِبادَة","O","noun"
".",".",".","O","punc"
"وحدت","وحدت","وَحَّد","O","verb"
"سمع","سمع","سَمِع","O","verb"
"منه","منه","مِن","O","prep"
"الفضلاء","الفضلاء","فاضِل","O","noun"
"وقرا","و+_قرآ","قَرَأ","O","verb"
"عليه","عليه","عَلَى","O","prep"
"ابو","أبو","أَبُو","B-PERS","noun_prop"
"الفتح","الفتح","فَتْح","I-PERS","noun"
"بن","بن","بِن","I-PERS","noun_prop"
"صالح","صالح","صالِح","I-PERS","noun_prop"
"البخاري","البخاري","بُخارِيّ","B-MISC","adj"
"في","في","فِي","O","prep"
"سنة","سنة","سَنَة","O","noun"
"عشر","عشر","عَشَرَة","O","noun"
"وثمانمائة","و+_ثمانمائة","ثَمانِمائَة","O","noun"
"ووصفه","و+_وصفه","وَصَف","O","verb"
"بالعلامة","ب+_العلامة","عَلامَة","O","noun"
"وعبد","و+_عبد","عَبْد","B-PERS","noun_prop"
"الرحمن","الرحمن","رَحْمٰن","I-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"احمد","أحمد","أَحْمَد","I-PERS","noun_prop"
"النفطي","النفطي","نَفْطِيّ","I-PERS","adj"
"وكذا","و+_كذا","كَذا","O","conj"
"التقي","التقى","ٱِلْتَقَى","B-PERS","verb"
"بن","بن","بِن","I-PERS","noun_prop"
"فهد","فهد","فَهْد","I-PERS","noun_prop"
"في","في","فِي","O","prep"
"ذي","ذي","ذُو","O","noun"
"الحجة","الحجة","حُجَّة","O","noun"
"سنة","سنة","سَنَة","O","noun"
"اثنتي","ٱثنتي","ٱِثْنَتا","O","noun"
"عشرة","عشرة","عَشَرَة","O","noun"
"بالمدينة","ب+_المدينة","مَدِينَة","B-LOC","noun"
"قرا","قرآ","قَرَأ","O","verb"
"عليه","عليه","عَلَى","O","prep"
"جزءا","جزءا","جُزْء","O","noun"
"فيه","فيه","فِي","O","prep"
"ثلاثة","ثلاثة","ثَلاث","O","adj"
"عشر","عشر","عَشَرَة","O","noun"
"حديثا","حديثا","حَدِيث","O","adj"
"موافقات","موافقات","مُوافَقَة","O","noun"
"من","من","مِن","O","prep"
"الموطا","الموطأ","مَوْطَأ","O","noun"
"المذكور","المذكور","مَذْكُور","O","adj"
"وعرض","و+_عرض","عَرَض","O","verb"
"عليه","عليه","عَلَى","O","prep"
"الشمس","الشمس","شَمْس","B-PERS","noun"
"محمد","محمد","مُحَمَّد","I-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"عبد","عبد","عَبْد","I-PERS","noun_prop"
"العزيز","العزيز","عَزِيز","I-PERS","noun_prop"
"الكازروني","الكازروني","الكازروني","I-PERS","noun_prop"
"في","في","فِي","O","prep"
"سنة","سنة","سَنَة","O","noun"
"اربع","أربع","أَرْبَع","O","noun_prop"
"عشرة","عشرة","عَشَرَة","O","noun"
"،","،","،","O","punc"
"واجاز","و+_أجاز","أَجاز","O","verb"
"لخلق","ل+_خلق","خَلْق","O","noun"
"منهم","منهم","مِن","O","prep"
"التقي","التقى","ٱِلْتَقَى","B-PERS","verb"
"الشمني","الشمني","الشمني","I-PERS","noun_prop"
"واخرون","و+_آخرون","آخَر","O","adj"
"بعضهم","ب+_عضهم","عَضّ","O","noun"
"في","في","فِي","O","prep"
"الاحياء","الأحياء","حَيّ","O","noun"
"،","،","،","O","punc"
"وله","و+_له","لِ","O","prep"
"اجوبة","أجوبة","جَواب","O","noun"
"عن","عن","عَن","O","prep"
"مسائل","مسائل","مَسْأَلَة","O","noun"
"عند","عند","عِنْد","O","noun"
"صاحبنا","صاحبنا","صاحِب","O","noun"
"النجم","النجم","نَجْم","B-PERS","noun"
"بن","بن","بِن","I-PERS","noun_prop"
"فهد","فهد","فَهْد","I-PERS","noun_prop"
".",".",".","O","punc"
"مات","مات","مات","O","verb"
"في","في","فِي","O","prep"
"صفر","صفر","صِفْر","O","noun"
"سنة","سنة","سَنَة","O","noun"
"ثمان","ثمان","ثَمانِي","O","noun"
"عشرة","عشرة","عَشَرَة","O","noun"
"بالمدينة","ب+_المدينة","مَدِينَة","B-LOC","noun"
