token,tokenized,lemma,ne_label,pos
نعير,نعير,أَعار,B-PERS,verb
بنون,ب+_نون,نُون,I-PERS,noun
ومهملة,و+_مهملة,مُهْمَل,O,adj
مصغر,مصغر,مُصَغَّر,O,adj
واسمه,و+_اسمه,ٱِسْم,O,noun
محمد,محمد,مُحَمَّد,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
حيار,حيار,حيار,I-PERS,noun_prop
بمهملة,ب+_مهملة,مُهْمَل,O,adj
مكسورة,مكسورة,مَكْسُور,O,adj
ثم,ثم,ثُمَّ,O,adv
تحتانية,تحتانية,تَحْتانِيّ,O,adj
خفيفة,خفيفة,خَفِيف,O,adj
بن,بن,بِن,I-PERS,noun_prop
مهنا,مهنا,مُهَنّا,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
عيسى,عيسى,عِيسَى,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
مهنا,مهنا,مُهَنّا,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
مانع,مانع,مانِع,I-PERS,noun
بن,بن,بِن,I-PERS,noun_prop
حديثة,حديثة,حَدِيث,I-PERS,adj
شمس,شمس,شَمْس,I-PERS,noun_prop
الدين,الدين,دِين,I-PERS,noun
امير,أمير,أَمِير,O,noun
ال,ال,ال,O,part_det
فضل,فضل,فَضْل,O,noun
بالشام,ب+_الشام,شام,B-LOC,noun_prop
ويعرف,و+_يعرف,عَرَف,O,verb
بنعير,ب+_نعير,نَعِير,B-PERS,noun
.,.,.,O,punc
ولي,ولي,وَلِيّ,O,noun
الامرة,الآمرة,آمِر,O,noun
بعد,بعد,بُعْد,O,noun
ابيه,أبيه,أَب,O,noun
ودخل,و+_دخل,دَخَل,O,verb
القاهرة,القاهرة,قاهِرَة,B-LOC,noun_prop
مع,مع,مَع,O,prep
يلبغا,يلبغا,يلبغا,B-PERS,noun_prop
الناصري,الناصري,ناصِرِيّ,I-PERS,adj
ولما,و+_لما,لَمّا,O,conj
عاد,عاد,عاد,O,verb
الظاهر,الظاهر,ظاهِر,B-PERS,noun
من,من,مِن,O,prep
الكرك,الكرك,كُرْك,B-LOC,noun
وافق,وافق,وافَق,O,verb
نعير,نعير,أَعار,B-PERS,verb
منطاشا,منطاشا,منطاشا,I-PERS,noun_prop
في,في,فِي,O,prep
الفتنة,الفتنة,فِتْنَة,O,noun
الشهيرة,الشهيرة,شَهِير,O,adj
وكان,و+_كان,كان,O,verb
معه,معه,مَع,O,prep
لما,ل+_ما,ما,O,pron_rel
حاصر,حاصر,حاصَر,O,verb
حلب,حلب,حَلَب,B-LOC,noun_prop
ثم,ثم,ثُمَّ,O,adv
راسل,راسل,راسَل,O,verb
نعير,نعير,أَعار,B-PERS,verb
نائب,نائب,نائِب,O,noun
حلب,حلب,حَلَب,B-LOC,noun_prop
اذ,إذ,إِذ,O,conj
ذاك,ذاك,ذاكَ,O,pron_dem
كمشبغا,كمشبغا,كمشبغا,O,noun_prop
في,في,فِي,O,prep
الصلح,الصلح,صُلْح,O,noun
وسلمه,و+_سلمه,سَلَّم,O,verb
منطاش,منطاش,منطاش,O,noun_prop
ثم,ثم,ثُمَّ,O,adv
غضب,غضب,غَضَب,O,noun
برقوق,ب+_رقوق,رَقّ,B-PERS,noun
على,على,عَلَى,O,prep
نعير,نعير,أَعار,B-PERS,verb
وطرده,و+_طرده,طَرْد,O,noun
من,من,مِن,O,prep
البلاد,البلاد,بَلَد,O,noun
فاغار,ف+_أغار,أَغار,O,verb
نعير,نعير,أَعار,B-PERS,verb
على,على,عَلَى,O,prep
بني,بني,بَنِي,O,noun_prop
عمه,عمه,عَمّ,O,noun
الذين,الذين,الَّذِي,O,pron_rel
قرروا,قرروا,قَرَّر,O,verb
بعده,بعده,بُعْد,O,noun
وطردهم,و+_طردهم,طَرَد,O,verb
