"Automated","Manually","Truth"
"أحمد بن القاضي","أحمد بن القاضي موفق الدين على بن أبي بكر بن على بن محمد بن أبي بكر بن عبد الله الشهاب أبو الفضل الناشري اليماني","TRUE"
"موفق الدين على بن أبي بكر بن على بن محمد بن أبي بكر بن عبد الله الشهاب",,"FALSE"
"أبو الفضل الناشري",,"FALSE"
"عبد المجيد الآتي","عبد المجيد","TRUE"
"أحمد","الشهاب أحمد","TRUE"
"اللغوي",,"FALSE"
"ابن الجزري",,"FALSE"
"عبد الله بن محمد الناشري","عبد الله بن محمد الناشري","TRUE"
"على بن أحمد الجلاد","على بن أحمد الجلاد","TRUE"
"العفيف الناشري","العفيف الناشري","TRUE"
"محمد","الجمال محمد","TRUE"
"أحمد بن أبي بكر الرداد","الشهاب أحمد بن أبي بكر الرداد","TRUE"
