"token","tokenized","lemma","ne_label","pos"
"وردشاه","وردشاه","وردشاه","B-PERS","noun_prop"
"العلمية","العلمية","عِلْمِيّ","I-PERS","adj"
"ابن","ابن","ٱِبْن","I-PERS","noun_prop"
"الجيعان","الجيعان","الجيعان","I-PERS","noun_prop"
"وكانت","و+_كانت","كان","O","verb"
"جل","جل","جَلّ","O","noun"
"حظاياه","حظاياه","حَظِيَّة","O","noun"
"،","،","،","O","punc"
"ماتت","ماتت","مات","O","verb"
"في","في","فِي","O","prep"
"ليلة","ليلة","لَيْلَة","O","noun"
"الخميس","الخميس","خَمِيس","O","noun_prop"
"حادى","حادي","حادِي","O","adj"
"عشر","عشر","عَشَرَة","O","noun"
"صفر","صفر","صِفْر","O","noun"
"سنة","سنة","سَنَة","O","noun"
"احدى","إحدى","أَحَد","O","noun"
"وتسعين","و+_تسعين","سَعَى","O","verb"
