"token","tokenized","lemma","ne_label","pos"
"احمد","أحمد","أَحْمَد","B-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"عبد","عبد","عَبْد","I-PERS","noun_prop"
"الله","الله","اللَّه","I-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"محمد","محمد","مُحَمَّد","I-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"محمد","محمد","مُحَمَّد","I-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"محمد","محمد","مُحَمَّد","I-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"عبد","عبد","عَبْد","I-PERS","noun_prop"
"القادر","القادر","قادِر","I-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"عبد","عبد","عَبْد","I-PERS","noun_prop"
"الخالق","الخالق","خالِق","I-PERS","noun"
"بن","بن","بِن","I-PERS","noun_prop"
"خليل","خليل","خَلِيل","I-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"مقلد","مقلد","مُقَلَّد","I-PERS","adj"
"بن","بن","بِن","I-PERS","noun_prop"
"سالم","سالم","سالِم","I-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"جابر","جابر","جابِر","I-PERS","noun_prop"
"محيي","محيي","مُحْيِي","I-PERS","noun_prop"
"الدين","الدين","دِين","I-PERS","noun"
"ابو","أبو","أَبُو","I-PERS","noun_prop"
"اليسر","اليسر","يُسْر","I-PERS","noun"
"بن","بن","بِن","I-PERS","noun_prop"
"التقي","التقى","ٱِلْتَقَى","I-PERS","verb"
"بن","بن","بِن","I-PERS","noun_prop"
"النور","النور","نُور","I-PERS","noun_prop"
"ابي","أبي","أَبِي","I-PERS","noun_prop"
"البركات","البركات","بَرَكَة","I-PERS","noun"
"بن","بن","بِن","I-PERS","noun_prop"
"ابي","أبي","أَبِي","I-PERS","noun_prop"
"المعالي","المعالي","مَعْلاة","I-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"الشرف","الشرف","شَرَف","I-PERS","noun"
