"Automated","Manually","Truth"
"إبراهيم بن الحسن بن إبراهيم بن عبد الكريم برهان الدين العرابي","إبراهيم بن الحسن بن إبراهيم بن عبد الكريم برهان الدين العرابي المقدسي الشافعي",TRUE
"المقدسي الشافعي",,FALSE
"البدر","البدر محمود العجلوني",TRUE
"محمود العجلوني",,FALSE
"تيسير","تيسير الحاوي الشرف البارزي",TRUE
"الشمس العرابي",,TRUE
"العلاء بن العطار","العلاء بن العطار تلميذ النووي ",TRUE
"النووي",,FALSE
"التقى القلقشندي","التقى القلقشندي",TRUE
"التاج الزيلعي","التاج الزيلعي",TRUE
"الصلاح بن المنجا الحنبلي","الصلاح بن المنجا الحنبلي",TRUE
"محيي الدين الرجبي","محيي الدين الرجبي",TRUE
"البرهان بن جماعة","البرهان بن جماعة",TRUE
"أبي الخير بن العلائي","أبي الخير بن العلائي",TRUE
"الترمذي",,FALSE
"الشمس بن حامد",,TRUE
"ابن فهد",,TRUE
,"التاج الاقفاصي المقدسي ",FALSE
