token,tokenized,lemma,ne_label,pos
فتح,فتح,فَتْح,B-PERS,noun
الله,الله,اللَّه,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
عبد,عبد,عَبْد,I-PERS,noun_prop
الله,الله,اللَّه,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
نصر,نصر,نَصْر,I-PERS,noun_prop
الله,الله,اللَّه,I-PERS,noun_prop
الهرموزي,الهرموزي,الهرموزي,I-PERS,noun_prop
نزيل,نزيل,أَزال,O,verb
مكة,مكة,مَكَّة,B-LOC,noun_prop
ومولى,و+_مولى,مَوْلَى,O,noun_prop
الهرموزية,الهرموزية,الهرموزيه,B-ORG,noun_prop
.,.,.,O,punc
تكسب,تكسب,كَسَب,O,verb
بالكتابة,ب+_الكتابة,كِتابَة,O,noun
.,.,.,O,punc
ممن,ممن,مِن,O,prep
سمع,سمع,سَمِع,O,verb
مني,مني,مِن,O,prep
بمكة,ب+_مكة,مَكَّة,B-LOC,noun_prop
.,.,.,O,punc
