token,tokenized,lemma,ne_label,pos
محمد,محمد,مُحَمَّد,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
علي,على,عَلَى,I-PERS,prep
بن,بن,بِن,I-PERS,noun_prop
عمر,عمر,عُمَر,I-PERS,noun_prop
الشمس,الشمس,شَمْس,I-PERS,noun
البغدادي,البغدادي,بَغْدادِيّ,I-PERS,adj
الحنبلي,الحنبلي,حَنْبَلِيّ,I-PERS,adj
الزعيم,الزعيم,زَعِيم,O,noun
نزيل,نزيل,أَزال,O,verb
دمشق,دمشق,دِمَشْق,B-LOC,noun_prop
.,.,.,O,punc
ولد,ولد,وَلَد,O,verb
سنة,سنة,سَنَة,O,noun
بضع,بضع,بِضْع,O,noun
وخمسين,و+_خمسين,خَمْس,O,noun
وسبعمائة,و+_سبعمائة,سَبْعمائَة,O,noun
ببغداد,ب+_بغداد,بَغْداد,B-LOC,noun_prop
،,،,،,O,punc
وكف,و+_كف,كَفّ,O,verb
بصره,بصرة,بَصْرَة,O,noun_prop
وجال,و+_جال,جال,O,verb
في,في,فِي,O,prep
البلاد,البلاد,بَلَد,O,noun
كاليمن,ك+_اليمن,يَمَن,B-LOC,noun_prop
والهند,و+_الهند,هِنْد,B-LOC,noun_prop
والحجاز,و+_الحجاز,حِجاز,B-LOC,noun_prop
والقاهرة,و+_القاهرة,قاهِرَة,B-LOC,noun_prop
.,.,.,O,punc
مات,مات,مات,O,verb
بها,بها,بِ,O,prep
في,في,فِي,O,prep
ذي,ذي,ذُو,O,noun
الحجة,الحجة,حُجَّة,O,noun
سنة,سنة,سَنَة,O,noun
اربع,أربع,أَرْبَع,O,noun_prop
عشرة,عشرة,عَشَرَة,O,noun
وكانت,و+_كانت,كان,O,verb
لديه,لديه,لَدَى,O,noun
فضائل,فضائل,فَضِيلَة,O,noun
.,.,.,O,punc
ذكره,ذكره,ذَكَر,O,verb
المقريزي,المقريزي,المقريزي,B-PERS,noun_prop
في,في,فِي,O,prep
عقوده,عقوده,عَقْد,O,noun
وحكي,و+_حكى,حَكَى,O,verb
عنه,عنه,عَن,O,prep
حكاية,حكاية,حِكايَة,O,noun
.,.,.,O,punc
