token,tokenized,lemma,ne_label,pos
علي,على,عَلَى,B-PERS,prep
بن,بن,بِن,I-PERS,noun_prop
عبد,عبد,عَبْد,I-PERS,noun_prop
الحميد,الحميد,حَمِيد,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
علي,على,عَلَى,I-PERS,prep
المغربي,المغربي,مَغْرِبِيّ,O,adj
الاصل,الأصل,أَصْل,O,noun
الغزي,الغزي,غَزِّيّ,O,adj
المولد,المولد,مُوَلِّد,O,noun
والمنشا,و+_المنشأ,مَنْشَأ,O,noun
.,.,.,O,punc
اشتغل,أشتغل,ٱِشْتَغَل,O,verb
بالنظم,ب+_النظم,نَظْم,O,noun
من,من,مِن,O,prep
البحور,البحور,بَحْر,O,noun
والفنون,و+_الفنون,فَنّ,O,noun
فاجاده,ف+_أجاده,أَجاد,O,verb
وحصل,و+_حصل,حَصَل,O,verb
له,له,لِ,O,prep
رمد,رمد,رَمِد,O,adj
قديم,قديم,قَدِيم,O,adj
منعه,منعه,مَنْع,O,noun
الكتابة,الكتابة,كِتابَة,O,noun
وهو,و+_هو,هُوَ,O,pron
القائل,القائل,قائِل,O,adv
:,:,:,O,punc
تب,تب,تَبّ,O,verb
عنه,عنه,عَن,O,prep
من,من,مِن,O,prep
نظمه,نظمه,نَظَّم,O,verb
في,في,فِي,O,prep
سنة,سنة,سَنَة,O,noun
ثلاث,ثلاث,ثَلاث,O,adj
وثلاثين,و+_ثلاثين,ثَلاث,O,noun
.,.,.,O,punc
ومات,و+_مآت,مَأْتَى,O,noun
بغزة,ب+_غزة,غَزَّة,B-LOC,noun_prop
بعد,بعد,بُعْد,O,noun
سنة,سنة,سَنَة,O,noun
خمسين,خمسين,خَمْس,O,noun
.,.,.,O,punc
