"token","tokenized","lemma","ne_label","pos"
"ابراهيم","إبراهيم","إِبْراهِيم","B-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"ابي","أبي","أَبِي","I-PERS","noun_prop"
"بكر","بكر","بَكْر","I-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"ابراهيم","إبراهيم","إِبْراهِيم","I-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"محمد","محمد","مُحَمَّد","I-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"اسماعيل","إسماعيل","إِسْماعِيل","I-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"محمد","محمد","مُحَمَّد","I-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"حسن","حسن","حَسَن","I-PERS","noun_prop"
"صارم","صارم","صارِم","I-PERS","adj"
"الدين","الدين","دِين","I-PERS","noun"
"العامري","العامري","عامِرِيّ","I-PERS","noun_prop"
"اليماني","اليماني","يَمانِيّ","I-PERS","adj"
"الحرضي","الحرضي","الحرضي","I-PERS","noun_prop"
"والد","والد","والِد","O","noun"
"محمد","محمد","مُحَمَّد","B-PERS","noun_prop"
"الطيب","الطيب","طَيِّب","I-PERS","noun_prop"
"الاتي","الآتي","آتِي","I-PERS","noun"
"وقريب","و+_قريب","قَرِيب","O","adj"
"شيخ","شيخ","شَيْخ","B-PERS","noun"
"يحيى","يحيى","يَحْيَى","I-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"ابي","أبي","أَبِي","I-PERS","noun_prop"
"بكر","بكر","بَكْر","I-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"محمد","محمد","مُحَمَّد","I-PERS","noun_prop"
"العامري","العامري","عامِرِيّ","I-PERS","noun_prop"
"فقيه","فقيه","فَقِيه","O","noun_prop"
"اخذ","أخذ","أَخَذ","O","verb"
"عن","عن","عَن","O","prep"
"ابي","أبي","أَبِي","B-PERS","noun_prop"
"بكر","بكر","بَكْر","I-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"محمد","محمد","مُحَمَّد","I-PERS","noun_prop"
"والد","والد","والِد","O","noun"
"قريبه","قريبة","قَرِيب","O","adj"
"يحيى","يحيى","يَحْيَى","B-PERS","noun_prop"
"رفيقا","رفيقا","رَفِيق","O","noun"
"لقريبه","ل+_قريبة","قَرِيب","O","adj"
"ثم","ثم","ثُمَّ","O","adv"
"اخذ","أخذ","أَخَذ","O","verb"
"عن","عن","عَن","O","prep"
"يحيى","يحيى","يَحْيَى","B-PERS","noun_prop"
"رواية","رواية","رِوايَة","B-MISC","noun"
"واقرا","و+_أقرا","أَقَرّ","O","verb"
"الفقه","الفقه","فِقْه","B-MISC","noun"
"في","في","فِي","O","prep"
"حياة","حياة","حَياة","O","noun"
"يحيى","يحيى","يَحْيَى","B-PERS","noun_prop"
"ثم","ثم","ثُمَّ","O","adv"
"بعده","بعده","بُعْد","O","noun"
"وحج","و+_حج","حَجّ","O","noun"
"وزار","و+_زار","زار","O","verb"
"وهو","و+_هو","هُوَ","O","pron"
"الان","الآن","آن","O","noun"
"سنة","سنة","سَنَة","O","noun"
"اربع","أربع","أَرْبَع","O","noun_prop"
"وتسعين","و+_تسعين","سَعَى","O","verb"
"حي","حي","حَيّ","O","noun"
"ابن","ابن","ٱِبْن","O","noun_prop"
"ست","ست","سِتّ","O","noun"
"وخمسين","و+_خمسين","خَمْس","O","noun"
"وقد","و+_قد","قَدْ","O","part_verb"
"كتب","كتب","كَتَب","O","verb"
"لي","لي","لِ","O","prep"
"في","في","فِي","O","prep"
"موسمها","موسمها","مَوْسِم","O","noun"
"وانا","و+_أنا","أَنا","O","pron"
"بمكة","ب+_مكة","مَكَّة","B-LOC","noun_prop"
"يستجيزني","يستجيزني","ٱِسْتَجاز","O","verb"
"وقال","و+_قال","قال","O","verb"
":",":",":","O","punc"
"اجزته","أجزته","أَجاز","O","verb"
"نفع","نفع","نَفَع","O","verb"
"الله","الله","اللَّه","B-MISC","noun_prop"
"به","به","بِ","O","prep"
".",".",".","O","punc"
