"token","tokenized","lemma","ne_label","pos"
"صالح","صالح","صالِح","B-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"الجمال","الجمال","جَمال","I-PERS","noun"
"ابي","أبي","أَبِي","I-PERS","noun_prop"
"النجا","النجا","نَجاً","I-PERS","noun"
"محمد","محمد","مُحَمَّد","I-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"البهاء","البهاء","بَهاء","I-PERS","noun"
"ابي","أبي","أَبِي","I-PERS","noun_prop"
"البقاء","البقاء","بَقاء","I-PERS","noun"
"محمد","محمد","مُحَمَّد","I-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"احمد","أحمد","أَحْمَد","I-PERS","noun_prop"
"علم","علم","عَلِم","I-PERS","verb"
"الدين","الدين","دِين","I-PERS","noun"
"المكي","المكي","مَكِّيّ","I-PERS","adj"
"الحنفي","الحنفي","حَنَفِيّ","I-PERS","noun_prop"
"اخو","أخو","أَخ","O","noun"
"ابي","أبي","أَبِي","B-PERS","noun_prop"
"القسم","القسم","قِسْم","I-PERS","noun"
"محمد","محمد","مُحَمَّد","I-PERS","noun_prop"
"الاتي","الآتي","آتِي","I-PERS","noun"
"ويعرف","و+_يعرف","عَرَف","O","verb"
"كسلفه","ك+_سلفه","سَلَف","O","noun"
"بابن","ب+_ابن","ٱِبْن","B-PERS","noun"
"الضيا","الضيا","الضيا","I-PERS","noun_prop"
".",".",".","O","punc"
"ولد","ولد","وَلَد","O","verb"
"في","في","فِي","O","prep"
"جمادى","جمادى","جُمادَى","O","noun_prop"
"الاخرة","الآخرة","آخِرَة","O","noun"
"سنة","سنة","سَنَة","O","noun"
"اربع","أربع","أَرْبَع","O","noun_prop"
"وخمسين","و+_خمسين","خَمْس","O","noun"
"وثمانمائة","و+_ثمانمائة","ثَمانِمائَة","O","noun"
"بمكة","ب+_مكة","مَكَّة","B-LOC","noun_prop"
"ونشا","و+_نشأ","شَأَو","O","verb"
"بها","بها","بِ","O","prep"
"فحفظ","ف+_حفظ","حِفْظ","O","noun"
"القران","القرآن","قُرْآن","B-MISC","noun_prop"
"وكتبا","و+_كتبا","كِتاب","O","noun"
"وكنت","و+_كنت","كان","O","verb"
"ممن","ممن","مِن","O","prep"
"عرضها","عرضها","عَرْض","O","noun"
"عليه","عليه","عَلَى","O","prep"
"بل","بل","بَل","O","conj"
"سمع","سمع","سَمِع","O","verb"
"مني","مني","مِن","O","prep"
"بمكة","ب+_مكة","مَكَّة","B-LOC","noun_prop"
"،","،","،","O","punc"
"وحضر","و+_حضر","حَضَر","O","verb"
"دروس","دروس","دَرْس","O","noun"
"ابيه","أبيه","أَب","O","noun"
"ثم","ثم","ثُمَّ","O","adv"
"اخيه","أخيه","وَخَى","O","verb"
"وقدم","و+_قدم","قَدَّم","O","verb"
"القاهرة","القاهرة","قاهِرَة","B-LOC","noun_prop"
"صحبة","صحبة","صُحْبَة","O","noun"
"الامين","الأمين","أَمِين","B-PERS","noun"
"الاقصرائي","الاقصرائي","الاقصرائي","I-PERS","noun_prop"
"في","في","فِي","O","prep"
"سنة","سنة","سَنَة","O","noun"
"وفاته","وفاته","وَفاة","O","noun"
"فاقام","ف+_أقام","أَقام","O","verb"
"مع","مع","مَع","O","prep"
"اخيه","أخيه","وَخَى","O","verb"
"تحت","تحت","تَحْتَ","O","noun"
"نظره","نظره","نَظَر","O","noun"
"ثم","ثم","ثُمَّ","O","adv"
"بمسجده","ب+_مسجده","مَسْجِد","O","noun"
"وتردد","و+_تردد","تَرَدَّد","O","verb"
"للبرهان","ل+_البرهان","بُرْهان","B-PERS","noun_prop"
"الكركي","الكركي","كُرْكِيّ","I-PERS","noun"
"وغيره","و+_غيره","غَيْر","O","noun"
"،","،","،","O","punc"
"ولم","و+_لم","لَم","O","part_neg"
"يذكر","يذكر","ذَكَر","O","verb"
"بفضيلة","ب+_فضيلة","فَضِيلَة","O","noun"
"ولا","و+_لا","لا","O","part_neg"
"همة","همة","هِمَّة","O","noun"
"له","له","لِ","O","prep"
"في","في","فِي","O","prep"
"هذا","هذا","هٰذا","O","pron_dem"
"المعنى","المعنى","مَعْنَى","O","noun"
