"Automated","Manually","Truth"
"خلف بن أبي بكر بن أحمد الزين النحريري","خلف بن ابي بكر بن احمد الزين النحريري المصري المالكي ",TRUE
"خليل","الشيخ  خليل",TRUE
"ابن الحاجب","ابن الحاجب",TRUE
"أبي مصعب فوت","أبي مصعب فوت",TRUE
"أبو الفتح بن صالح البخاري","أبو الفتح بن صالح",TRUE
"عبد الرحمن بن أحمد النفطي","عبد الرحمن بن أحمد النفطي",TRUE
"التقى بن فهد","التقى بن فهد",TRUE
"محمد بن عبد العزيز الكازروني","الشمس محمد بن عبد العزيز الكازروني",TRUE
"التقى الشمني","التقى الشمني",TRUE
"النجم بن فهد","النجم بن فهد",TRUE
,"القلانسي",FALSE
