"Automated","Manually","Truth"
"إبراهيم بن العز محمد بن أحمد بن أبي الفضل محمد بن أحمد بن عبد العزيز الرضى","ابراهيم بن العز محمد بن احمد بن ابي الفضل محمد بن احمد بن عبد العزيز الرضي ابو حامد بن العز بن المحب الهاشمي النويري المالكي الشافعي",TRUE
"أبو حامد بن العز بن المحب الهاشمي النويري",,FALSE
"إسماعيل الآتي","إسماعيل",TRUE
"ابن مالك",,FALSE
"ابن صديق","ابن صديق",TRUE
"الزين المراغي","الزين المراغي",TRUE
"محمد بن محمد بن أحمد بن المحب المقدسي","الشمس محمد بن محمد بن احمد بن المحب المقدسي ",TRUE
"البلقيني","البلقيني",TRUE
"ابن الملقن","ابن الملقن",TRUE
"والهيثمي","والهيثمي",TRUE
"والتنوخي","والتنوخي",TRUE
"ابن الذهبي","ابن الذهبي",TRUE
"ابن العلائي","ابن العلائي",TRUE
"يوسف","يوسف",TRUE
"الفاسي",,TRUE
,"العراقي",FALSE
