token,tokenized,lemma,ne_label,pos
زينب,زينب,زَيْنَب,B-PERS,noun_prop
ام,أم,أَم,O,conj
الهدى,الهدي,هَدْي,O,noun
اختها,أختها,أُخْت,O,noun
.,.,.,O,punc
ولدت,ولدت,وَلَد,O,verb
في,في,فِي,O,prep
صفر,صفر,صِفْر,O,noun
سنة,سنة,سَنَة,O,noun
خمسين,خمسين,خَمْس,O,noun
وثمانمائة,و+_ثمانمائة,ثَمانِمائَة,O,noun
بمكة,ب+_مكة,مَكَّة,B-LOC,noun_prop
وامها,و+_أمها,أُمّ,O,noun
امة,أمة,أُمَّة,O,noun
لابيها,ل+_أبيها,أَب,O,noun
،,،,،,O,punc
سمعت,سمعت,سَمِع,O,verb
عليه,عليه,عَلَى,O,prep
واجاز,و+_أجاز,أَجاز,O,verb
لها,لها,لِ,O,prep
جماعة,جماعة,جَماعَة,O,noun
كشيخنا,ك+_شيخنا,شَيْخ,O,noun
وابن,و+_ابن,ٱِبْن,B-PERS,noun
الفرات,الفرات,فُرات,I-PERS,noun_prop
.,.,.,O,punc
تزوجها,تزوجها,تَزَوَّج,O,verb
ابن,ابن,ٱِبْن,O,noun_prop
عمها,عمها,عَمّ,O,noun
حسن,حسن,حَسَن,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
عطية,عطية,عَطِيَّة,I-PERS,noun
ثم,ثم,ثُمَّ,O,adv
فارقها,فارقها,فارِق,O,noun
وتايمت,و+_تأيمت,تَأَيَّم,O,verb
بعده,بعده,بُعْد,O,noun
حتى,حتى,حَتَّى,O,prep
ماتت,ماتت,مات,O,verb
-,-,-,O,punc
كما,كما,كَما,O,conj
كتبه,كتبه,كَتَب,O,verb
لي,لي,لِ,O,prep
ابن,ابن,ٱِبْن,O,noun_prop
اخيها,أخيها,أَخ,O,noun
في,في,فِي,O,prep
سلخ,سلخ,سَلْخ,O,noun
ربيع,ربيع,رَبِيع,O,noun_prop
الاول,الأول,أَوَّل,O,adj
سنة,سنة,سَنَة,O,noun
اثنتين,ٱثنتين,ٱِثْنَتانِ,O,adj
وتسعين,و+_تسعين,سَعَى,O,verb
بمكة,ب+_مكة,مَكَّة,B-LOC,noun_prop
بعد,بعد,بُعْد,O,noun
توعكها,توعكها,تَوَعُّك,O,noun
بالحمى,ب+_الحمى,حُمَّى,O,noun
اياما,أياما,يَوْم,O,noun
وصلى,و+_صلى,صَلَّى,O,verb
عليها,عليها,عَلَى,O,prep
في,في,فِي,O,prep
مستهل,مستهل,مُسْتَهَلّ,O,noun
الذي,الذي,الَّذِي,O,pron_rel
يليه,يليه,وَلِي,O,verb
ثم,ثم,ثُمَّ,O,adv
دفنت,دفنت,دَفَن,O,verb
بالمعلاة,ب+_المعلاة,مَعْلاة,O,noun
عند,عند,عِنْد,O,noun
سلفها,سلفها,سَلَف,O,noun
رحمها,رحمها,رَحِم,O,verb
الله,الله,اللَّه,B-MISC,noun_prop
