"token","tokenized","lemma","ne_label","pos"
"ارغون","أرغون","أَرْجُون","B-PERS","noun"
"شاه","شاه","شاه","I-PERS","noun_prop"
"السيفي","السيفي","السيفي","I-PERS","noun_prop"
"تغري","تغري","أَغْرَى","O","verb"
"بردي","ب+_ردي","رَدّ","O","noun"
"اتابك","أتأبك","تَأَبَّى","O","verb"
"غزة","غزة","غَزَّة","B-LOC","noun_prop"
"بعد","بعد","بُعْد","O","noun"
"تقدمة","تقدمة","تَقْدِمَة","O","noun"
"دمشق","دمشق","دِمَشْق","B-LOC","noun_prop"
"،","،","،","O","punc"
"مات","مات","مات","O","verb"
"في","في","فِي","O","prep"
"سنة","سنة","سَنَة","O","noun"
"تسع","تسع","تِسْع","O","adj"
"عشرة","عشرة","عَشَرَة","O","noun"
".",".",".","O","punc"
