"token","tokenized","lemma","ne_label","pos"
"احمد","أحمد","أَحْمَد","B-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"موسى","موسى","مُوسَى","I-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"احمد","أحمد","أَحْمَد","I-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"علي","على","عَلَى","I-PERS","prep"
"بن","بن","بِن","I-PERS","noun_prop"
"عجيل","عجيل","عَجِيل","I-PERS","adj"
"الشهاب","الشهاب","شِهاب","I-PERS","noun_prop"
"اليمني","اليمني","يَمَنِيّ","I-PERS","adj"
"بن","بن","بِن","I-PERS","noun_prop"
"ابي","أبي","أَبِي","I-PERS","noun_prop"
"بكر","بكر","بَكْر","I-PERS","noun_prop"
"ابن","ابن","ٱِبْن","I-PERS","noun_prop"
"الشيخ","الشيخ","شَيْخ","I-PERS","noun_prop"
"اسماعيل","إسماعيل","إِسْماعِيل","I-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"ابراهيم","إبراهيم","إِبْراهِيم","I-PERS","noun_prop"
"الاتي","الآتي","آتِي","O","noun"
"ابوه","أبوه","أَب","O","noun"
"وابنه","و+_ابنه","ٱِبْن","O","noun"
"اسماعيل","إسماعيل","إِسْماعِيل","B-PERS","noun_prop"
"ويعرف","و+_يعرف","عَرَف","O","verb"
"بالمشرع","ب+_المشرع","مُشَرِّع","I-PERS","noun"
".",".",".","O","punc"
"ولد","ولد","وَلَد","O","verb"
"في","في","فِي","O","prep"
"سنة","سنة","سَنَة","O","noun"
"تسع","تسع","تِسْع","O","adj"
"وعشرين","و+_عشرين","عِشْرُون","O","noun"
"وثمانمائة","و+_ثمانمائة","ثَمانِمائَة","O","noun"
"وتفقه","و+_تفقه","فاق","O","verb"
"قليلا","قليلا","قَلِيل","O","adj"
"وقرا","و+_قرآ","قَرَأ","O","verb"
"على","على","عَلَى","O","prep"
"خاله","خاله","خال","O","verb"
"ابراهيم","إبراهيم","إِبْراهِيم","B-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
