token,tokenized,lemma,ne_label,pos
يحيى,يحيى,يَحْيَى,B-PERS,noun_prop
كور,كور,كُور,I-PERS,noun
بن,بن,بِن,I-PERS,noun_prop
سليمان,سليمان,سُلَيْمان,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
دلغادر,دلغادر,دلغادر,I-PERS,noun_prop
التركماني,التركماني,التركماني,I-PERS,noun_prop
اخو,أخو,أَخ,O,noun
سوار,سوار,سِوار,B-PERS,noun
الماضي,الماضي,ماضِي,O,adj
.,.,.,O,punc
كان,كان,كان,O,verb
ممن,ممن,مِن,O,prep
علق,علق,عَلَّق,O,verb
في,في,فِي,O,prep
الكلاليب,الكلاليب,كُلّاب,O,noun
مع,مع,مَع,O,prep
اخيه,أخيه,وَخَى,O,verb
بباب,ب+_باب,باب,B-LOC,noun
زويلة,زويلة,زويله,I-LOC,noun_prop
حتى,حتى,حَتَّى,O,prep
مات,مات,مات,O,verb
بعده,بعده,بُعْد,O,noun
بيوم,ب+_يوم,يَوْم,O,noun
في,في,فِي,O,prep
يوم,يوم,يَوْم,O,noun
الثلاثاء,الثلاثاء,ثُلاثاء,O,noun_prop
تاسع,تاسع,تاسِع,O,adj
عشر,عشر,عَشَرَة,O,noun
ربيع,ربيع,رَبِيع,O,noun_prop
الاول,الأول,أَوَّل,O,adj
سنة,سنة,سَنَة,O,noun
سبع,سبع,سَبْع,O,noun
وسبعين,و+_سبعين,سَبْع,O,noun
.,.,.,O,punc
