"Automated","Manually","Truth"
"أحمد بن على بن محمد بن على بن الحسن بن حمزة بن محمد بن ناصر بن على بن الحسين بن إسماعيل بن الحسين بن أحمد بن إسماعيل بن محمد بن إسماعيل بن جعفر الصادق بن محمد الباقر بن على زين العابدين بن الحسين بن على بن أبي طالب","احمد بن علي بن محمد بن علي بن الحسن بن حمزة بن محمد بن ناصر بن علي بن الحسين بن اسماعيل بن الحسين بن احمد بن اسماعيل بن محمد بن اسماعيل بن جعفر الصادق بن محمد الباقر بن علي زين العابدين بن الحسين بن علي بن ابي طالب الشهاب ابو العباس بن ابي هاشم بن الحافظ الشمس ابي المحاسن الحسيني الدمشقي الشافعي ",TRUE
"أبو العباس بن أبي هاشم بن الحافظ الشمس أبي المحاسن الحسيني",,FALSE
"حمزة الآتي","العز حمزة ",FALSE
"أبي هريره بن الذهبي","ابي هريرة بن الذهبي ",TRUE
"ابن صديق","ابن صديق ",TRUE
"أبي","ابي العباس بن عبد الحق الحنفي ",TRUE
"العباس بن عبد الحق الحنفي",,FALSE
"أبي اليسر ابن الصائغ","ابي اليسر ابن الصائغ ",TRUE
"زينب ابنة","زينب ابنة محمد بن محمد بن عثمان السكري ",TRUE
"محمد بن محمد بن عثمان السكري",,FALSE
