token,tokenized,lemma,ne_label,pos
محمد,محمد,مُحَمَّد,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
احمد,أحمد,أَحْمَد,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
عبد,عبد,عَبْد,I-PERS,noun_prop
المهدي,المهدي,مَهْدِيّ,I-PERS,noun_prop
الجمال,الجمال,جَمال,I-PERS,noun
الصيرفي,الصيرفي,صَيْرَفِيّ,I-PERS,noun
المكي,المكي,مَكِّيّ,O,adj
شيخ,شيخ,شَيْخ,O,noun
القوافل,القوافل,قافِلَة,O,noun
الى,إلى,إِلَى,O,prep
المدينة,المدينة,مَدِينَة,B-LOC,noun
النبوية,النبوية,نَبَوِيّ,I-LOC,adj
ويقال,و+_يقال,قال,O,verb
له,له,لِ,O,prep
ابن,ابن,ٱِبْن,B-PERS,noun_prop
مهدي,مهدي,مَهْدِيّ,I-PERS,noun_prop
.,.,.,O,punc
سمعت,سمعت,سَمِع,O,verb
من,من,مِن,O,prep
يذكره,يذكره,ذَكَر,O,verb
ببر,ب+_بر,بَرّ,O,noun
واحسان,و+_إحسان,إِحْسان,O,noun_prop
لمن,ل+_من,مَن,O,pron_rel
يكون,يكون,كان,O,verb
معه,معه,مَع,O,prep
وتحمل,و+_تحمل,حَمَل,O,verb
لكثير,ل+_كثير,كَثِير,O,noun
من,من,مِن,O,prep
الكلف,الكلف,كُلْفَة,O,noun
التي,التي,الَّذِي,O,pron_rel
يتوجه,يتوجه,تَوَجَّه,O,verb
اليهم,إليهم,إِلَى,O,prep
اهل,أهل,أَهْل,O,noun
الدرب,الدرب,دَرْب,O,noun
فيها,فيها,فِي,O,prep
غير,غير,غَيْر,O,noun
مقتصر,مقتصر,مُقْتَصِر,O,noun
على,على,عَلَى,O,prep
هذا,هذا,هٰذا,O,pron_dem
في,في,فِي,O,prep
سفره,سفره,سَفَر,O,noun
بل,بل,بَل,O,conj
يتحف,يتحف,أَتْحَف,O,verb
كل,كل,كُلّ,O,noun
من,من,مِن,O,prep
قدم,قدم,قَدَّم,O,verb
مكة,مكة,مَكَّة,B-LOC,noun_prop
من,من,مِن,O,prep
الفقراء,الفقراء,فَقِير,O,noun
بعد,بعد,بُعْد,O,noun
الزيارة,الزيارة,زِيارَة,O,noun
اما,أما,أَمّا,O,part_focus
بالاطعام,ب+_الإطعام,إِطْعام,O,noun
او,أو,أَو,O,conj
غيره,غيره,غَيْر,O,noun
.,.,.,O,punc
مات,مات,مات,O,verb
بمكة,ب+_مكة,مَكَّة,B-LOC,noun_prop
في,في,فِي,O,prep
ليلة,ليلة,لَيْلَة,O,noun
الثلاثاء,الثلاثاء,ثُلاثاء,O,noun_prop
مستهل,مستهل,مُسْتَهَلّ,O,noun
رجب,رجب,رَجَب,O,noun_prop
سنة,سنة,سَنَة,O,noun
ثمان,ثمان,ثَمانِي,O,noun
وثمانين,و+_ثمانين,ثَمانِي,O,noun
بعد,بعد,بُعْد,O,noun
ان,أن,أَنَّ,O,conj_sub
افتقر,أفتقر,ٱِفْتَقَر,O,verb
رحمه,رحمه,رَحِم,O,verb
الله,الله,اللَّه,B-MISC,noun_prop
وعفا,و+_عفا,عَفا,O,verb
عنه,عنه,عَن,O,prep
.,.,.,O,punc
