"Automated","Manually","Truth"
"أحمد بن عبد الله بن محمد بن محمد بن محمد بن عبد القادر بن عبد الخالق بن خليل بن مقلد بن سالم بن جابر محيي الدين أبو اليسر بن التقى بن النور","احمد بن عبد الله بن محمد بن محمد بن محمد بن عبد القادر بن عبد الخالق بن خليل بن مقلد بن سالم بن جابر محيي الدين ابو اليسر بن التقي بن النور ابي البركات بن ابي المعالي بن الشرف بن العفيف الانصاري الدمشقي الشافعي ابن الصائع ","TRUE"
"أبي البركات بن أبي المعالي بن الشرف بن العفيف الأنصاري",,"FALSE"
"ابن الصائع",,"FALSE"
"أحمد بن على الجزري","الشهاب  أحمد بن على الجزري","TRUE"
"أبي عبد الله بن الخباز","أبي عبد الله بن الخباز","TRUE"
"محمد بن عمر السلاوى","محمد بن عمر السلاوى","TRUE"
"داود بن سليمان","داود بن سليمان","TRUE"
"الشمس بن النقيب","الشمس بن النقيب","TRUE"
"الحافظ","الحافظ المزي ","TRUE"
"المزي",,"FALSE"
"الNOAN","التقي السبكي ","TRUE"
"إبراهيم بن الشهاب محمود","الجمال ابراهيم بن الشهاب محمود ","TRUE"
"ابن الوردي","ابن الوردي","TRUE"
"أبي الفرج بن عبد الهادي","ابي الفرج بن عبد الهادي ","TRUE"
"عبد الرحمن بن أحمد المرداوي","عبد الرحمن بن احمد المرداوي ","TRUE"
"والوادياشي","الوادياشي","TRUE"
"زينب ابنة الكمال","زينب ابنة الكمال","TRUE"
"عبد القادر بن القرشية","عبد القادر بن القرشية","TRUE"
"محمد بن أبي بكر بن خليل الاعزازي","محمد بن أبي بكر بن خليل الاعزازي","TRUE"
"الصلاح بن أبي عمر","الصلاح بن أبي عمر","TRUE"
"الطباق",,"FALSE"
"ابن سعد","ابن سعد","TRUE"
"ابن الوردي","ابن الوردي","TRUE"
"مجير الدين الذهبي","مجير الدين الذهبي","TRUE"
"شعبان العسقلاني","شعبان العسقلاني","TRUE"
"المقريزي","المقريزي","TRUE"
"محمد الثالث","محمد الثالث","TRUE"
