"Automated","Manually","Truth"
"عبد الرحمن بن أبي بكر بن عبد الرحمن بن محمد بن أحمد بن سليمان بن حمزة بن أحمد بن عمر بن الشيخ أبي عمر زين الدين بن العماد القرشي","عبد الرحمن بن أبي بكر بن عبد الرحمن بن محمد بن أحمد بن سليمان بن حمزة بن أحمد بن عمر بن الشيخ أبي عمر زين الدين بن العماد القرشي العمري المقدسي الصالحي الحنبلي",TRUE
"الNOAN",,FALSE
"عبد الله","عبد الله",TRUE
"ناصر الدين محمد الآتيين","ناصر الدين محمد",TRUE
"ابن زريق","ابن زريق",TRUE
"أبي هريره بن الذهبي","أبي هريره بن الذهبي",TRUE
"أبي بكر بن إبراهيم بن العز","أبي بكر بن إبراهيم بن العز",TRUE
"محمد بن محمد بن داود بن حمزة","محمد بن محمد بن داود بن حمزة",TRUE
"أبي حفص عمر البالسي","أبي حفص عمر البالسي",TRUE
"عبد الله الحرستاني","عبد الله الحرستاني",TRUE
"ابن العلائي","ابن العلائي",TRUE
"ابن أبي المجد","ابن أبي المجد",TRUE
"الحلاوى","الحلاوى",TRUE
"والسويداوي","السويداوي",TRUE
"جماعة",,FALSE
"أبي عمر","أبي عمر",TRUE
