"token","tokenized","lemma","ne_label","pos"
"احمد","أحمد","أَحْمَد","B-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"محمد","محمد","مُحَمَّد","I-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"يوسف","يوسف","يُوسِف","I-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"محمد","محمد","مُحَمَّد","I-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"منصور","منصور","مَنْصُور","I-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"موسى","موسى","مُوسَى","I-PERS","noun_prop"
"الشهاب","الشهاب","شِهاب","I-PERS","noun_prop"
"الشويكي","الشويكي","الشويكي","I-PERS","noun_prop"
"الاصل","الأصل","أَصْل","O","noun"
"الخليلي","الخليلي","الخليلي","I-PERS","noun_prop"
"الازرقي","الازرقي","الازرقي","I-PERS","noun_prop"
"الشهير","الشهير","شَهِير","O","adj"
"بالشافعي","ب+_الشافعي","شافِعِيّ","I-PERS","adj"
".",".",".","O","punc"
"ولد","ولد","وَلَد","O","verb"
"على","على","عَلَى","O","prep"
"راس","رأس","رَأْس","O","noun"
"القرن","القرن","قَرْن","O","noun"
"تقريبا","تقريبا","تَقْرِيب","O","noun"
"وسمع","و+_سمع","سَمِع","O","verb"
"على","على","عَلَى","O","prep"
"جماعة","جماعة","جَماعَة","O","noun"
"منهم","منهم","مِن","O","prep"
"التدمري","التدمري","تَدْمُرِيّ","B-PERS","noun"
"وابن","و+_ابن","ٱِبْن","B-PERS","noun"
"حجي","حجى","حِجَى","I-PERS","noun"
"وابن","و+_ابن","ٱِبْن","B-PERS","noun"
"ناصر","ناصر","ناصِر","I-PERS","noun_prop"
"الدين","الدين","دِين","I-PERS","noun"
"وتوفي","و+_توفي","تَوَفَّى","O","verb"
"يوم","يوم","يَوْم","O","noun"
"الخميس","الخميس","خَمِيس","O","noun_prop"
"سادس","سادس","سادِس","O","adj"
"عشري","عشري","عَشَرَة","O","noun"
"ذي","ذي","ذُو","O","noun"
"القعدة","القعدة","قَعْدَة","O","noun"
"سنة","سنة","سَنَة","O","noun"
"احدى","إحدى","أَحَد","O","noun"
"وتسعين","و+_تسعين","سَعَى","O","verb"
"ببلد","ب+_بلد","بَلَد","O","noun"
"الخليل","الخليل","خَلِيل","B-LOC","noun_prop"
"ودفن","و+_دفن","دَفَن","O","verb"
"بالمقبرة","ب+_المقبرة","مَقْبَر","O","noun"
"السفلى","السفلى","أَسْفَل","O","noun"
".",".",".","O","punc"
