"Automated","Manually","Truth"
"إبراهيم بن محمد بن محمد بن محمد بن محمد بن محمد بن محمد بن محمد بن محمد برهان الدين أبو إسحاق بن العلم الزبيري النويري","ابراهيم بن محمد بن محمد بن محمد بن محمد بن محمد بن محمد بن محمد بن محمد برهان الدين ابو اسحاق بن العلم الزبيري النويري القاهري الشافعي",TRUE
"ابن ماجه","ابن ماجه",TRUE
"الجمال الحلاوى","الجمال الحلاوى",TRUE
"الشهاب الجوهري","الجوهري",TRUE
"العلاء القلقشندي","العلاء القلقشندي الغطاس",TRUE
"الشرفي الأنصاري","الشرفي الأنصاري",TRUE
"علم الدين","القاضي  علم الدين",TRUE
"البرهان","البرهان",TRUE
,"شيخنا",FALSE
,"الشرف المناوي",FALSE
