"token","tokenized","lemma","ne_label","pos"
"ابراهيم","إبراهيم","إِبْراهِيم","B-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"احمد","أحمد","أَحْمَد","I-PERS","noun_prop"
"الجبرتي","الجبرتي","الجبرتي","I-PERS","noun_prop"
"ممن","ممن","مِن","O","prep"
"اخذ","أخذ","أَخَذ","O","verb"
"عن","عن","عَن","O","prep"
"شيخنا","شيخنا","شَيْخ","B-PERS","noun"
"وما","و+_ما","ما","O","pron_rel"
"علمت","علمت","عَلِم","O","verb"
"الان","الآن","آن","O","noun"
"من","من","مِن","O","prep"
"خبره","خبره","خَبَر","O","noun"
"شيئا","شيئا","شَيْء","O","noun"
".",".",".","O","punc"
