token,tokenized,lemma,ne_label,pos
محمود,محمود,مَحْمُود,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
عبد,عبد,عَبْد,I-PERS,noun_prop
الله,الله,اللَّه,I-PERS,noun_prop
الصامت,الصامت,صامِت,I-PERS,adj
احد,أحد,أَحَد,O,noun
المعتقدين,المعتقدين,مُعْتَقَد,O,noun
في,في,فِي,O,prep
مصر,مصر,مِصْر,B-LOC,noun_prop
.,.,.,O,punc
كان,كان,كان,O,verb
شكلا,شكلا,شَكَّل,O,verb
بهيا,بهيا,بَهِيّ,O,adj
حسن,حسن,حَسَن,O,noun_prop
الصورة,الصورة,صُورَة,O,noun
كبير,كبير,كَبِير,O,adj
اللحية,اللحية,لِحْيَة,O,noun
منور,منور,مُنَوَّر,O,adj
الشيبة,الشيبة,شَيْبَة,O,noun
ولا,و+_لا,لا,O,part_neg
يتكلم,يتكلم,تَكَلَّم,O,verb
البتة,البتة,بَتَّة,O,noun
اقام,أقام,أَقام,O,verb
بالجيزة,ب+_الجيزة,جِيزَة,B-LOC,noun_prop
مدة,مدة,مُدَّة,O,noun
طويلة,طويلة,طَوِيل,O,adj
وللناس,و+_ل+_الناس,ناس,O,noun
فيه,فيه,فِي,O,prep
اعتقاد,اعتقاد,ٱِعْتِقاد,O,noun
كبير,كبير,كَبِير,O,adj
.,.,.,O,punc
مات,مات,مات,O,verb
في,في,فِي,O,prep
ذي,ذي,ذُو,O,noun
القعدة,القعدة,قَعْدَة,O,noun
سنة,سنة,سَنَة,O,noun
خمس,خمس,خَمْس,O,adj
.,.,.,O,punc
قاله,قاله,قال,O,verb
شيخنا,شيخنا,شَيْخ,O,noun
في,في,فِي,O,prep
انبائه,أنبائه,نَبَأ,O,noun
ومعجمه,و+_معجمه,مُعْجَم,O,noun
وزاد,و+_زاد,زاد,O,verb
فيه,فيه,فِي,O,prep
لقيته,لقيته,لَقِي,O,verb
مرارا,مرارا,مِرار,O,noun
.,.,.,O,punc
