"token","tokenized","lemma","ne_label","pos"
"احمد","أحمد","أَحْمَد","B-PERS","noun_prop"
"بن","بن","بِن","I-PERS","noun_prop"
"علي","على","عَلَى","I-PERS","prep"
"بن","بن","بِن","I-PERS","noun_prop"
"ايوب","أيوب","أَيُّوب","I-PERS","noun_prop"
"الشهاب","الشهاب","شِهاب","I-PERS","noun_prop"
"المنوفي","المنوفي","مَنُوفِيّ","O","noun"
"امام","أمام","أَمام","O","noun"
"الصالحية","الصالحية","الصالحيه","O","noun_prop"
"بالقاهرة","ب+_القاهرة","قاهِرَة","B-LOC","noun_prop"
".",".",".","O","punc"
"اشتغل","أشتغل","ٱِشْتَغَل","O","verb"
"كثيرا","كثيرا","كَثِير","O","adv"
"وكان","و+_كان","كان","O","verb"
"كثير","كثير","كَثِير","O","noun"
"المزاح","المزاح","مَزْح","O","noun"
"حتى","حتى","حَتَّى","O","prep"
"رماه","رماه","رَمَى","O","verb"
"بعضهم","ب+_عضهم","عَضّ","O","noun"
"بالزندقة","ب+_الزندقة","زَنْدَقَة","O","noun"
".",".",".","O","punc"
"مات","مات","مات","O","verb"
"في","في","فِي","O","prep"
"صفر","صفر","صِفْر","O","noun"
"سنة","سنة","سَنَة","O","noun"
"اثنتين","ٱثنتين","ٱِثْنَتانِ","O","adj"
"وله","و+_له","لِ","O","prep"
"ستون","س+_تون","وَنّ","O","verb"
"سنة","سنة","سَنَة","O","noun"
"،","،","،","O","punc"
"ذكره","ذكره","ذَكَر","O","verb"
"شيخنا","شيخنا","شَيْخ","O","noun"
"في","في","فِي","O","prep"
"انبائه","أنبائه","نَبَأ","O","noun"
"،","،","،","O","punc"
"وقال","و+_قال","قال","O","verb"
"المقريزي","المقريزي","المقريزي","B-PERS","noun_prop"
"في","في","فِي","O","prep"
"عقوده","عقوده","عَقْد","O","noun"
":",":",":","O","punc"
"الشافعي","الشافعي","شافِعِيّ","O","adj"
"اشتغل","أشتغل","ٱِشْتَغَل","O","verb"
"كثيرا","كثيرا","كَثِير","O","adv"
"وضبطت","و+_ضبطت","ضَبَط","O","verb"
"عليه","عليه","عَلَى","O","prep"
"كلمات","كلمات","كَلِمَة","O","noun"
"حمله","حمله","حَمْل","O","noun"
"عليها","عليها","عَلَى","O","prep"
"مجونه","مجونه","مُجُون","O","noun"
"لو","لو","لَو","O","conj"
"نوقش","نوقش","نوقش","O","noun_prop"
"عليها","عليها","عَلَى","O","prep"
"هلك","هلك","هُلْك","O","noun"
".",".",".","O","punc"
