token,tokenized,lemma,ne_label,pos
ابن,ابن,ٱِبْن,O,noun_prop
الشيخة,الشيخة,شَيْخَة,O,noun
علي,على,عَلَى,B-PERS,prep
بن,بن,بِن,I-PERS,noun_prop
ايوب,أيوب,أَيُّوب,I-PERS,noun_prop
المكي,المكي,مَكِّيّ,I-PERS,adj
وابنه,و+_ابنه,ٱِبْن,O,noun
محمد,محمد,مُحَمَّد,B-PERS,noun_prop
المدني,المدني,مَدَنِيّ,I-PERS,adj
والجلال,و+_الجلال,جَلال,O,noun_prop
محمد,محمد,مُحَمَّد,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
محمد,محمد,مُحَمَّد,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
محمد,محمد,مُحَمَّد,I-PERS,noun_prop
الدنديلي,الدنديلي,الدنديلي,I-PERS,noun_prop
واخوه,و+_إخوة,إِخْوَة,O,noun
علي,على,عَلَى,B-PERS,prep
.,.,.,O,punc
