token,tokenized,lemma,ne_label,pos
حفصة,حفصة,حفصه,B-PERS,noun_prop
ابنة,ابنة,ٱِبْنَة,O,noun
عمر,عمر,عُمَر,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
عبد,عبد,عَبْد,I-PERS,noun_prop
العزيز,العزيز,عَزِيز,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
على,على,عَلَى,I-PERS,prep
بن,بن,بِن,I-PERS,noun_prop
احمد,أحمد,أَحْمَد,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
عبد,عبد,عَبْد,I-PERS,noun_prop
العزيز,العزيز,عَزِيز,I-PERS,noun_prop
النويرى,النويرى,النويري,I-PERS,noun_prop
المكي,المكي,مَكِّيّ,O,adj
الماضي,الماضي,ماضِي,O,adj
ابوها,أبوها,أَب,O,noun
واخوها,و+_أخوها,أَخ,O,noun
عبد,عبد,عَبْد,B-PERS,noun_prop
الله,الله,اللَّه,I-PERS,noun_prop
.,.,.,O,punc
بيض,بيض,بِيض,O,noun
لها,لها,لِ,O,prep
ابن,ابن,ٱِبْن,B-PERS,noun_prop
فهد,فهد,فَهْد,I-PERS,noun_prop
