token,tokenized,lemma,ne_label,pos
معزى,معزي,مُعَزِّي,B-PERS,noun
بن,بن,بِن,I-PERS,noun_prop
هجار,هجار,هجار,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
وبير,وبير,وبير,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
نخبار,نخبار,نخبار,I-PERS,noun_prop
الحسيني,الحسيني,حُسَيْنِيّ,I-PERS,noun_prop
والد,والد,والِد,O,noun
دارج,دارج,دارِج,B-PERS,adj
الماضي,الماضي,ماضِي,O,adj
وامير,و+_أمير,أَمِير,O,noun
الينبوع,الينبوع,يَنْبُوع,O,noun
استقر,استقر,ٱِسْتَقَرّ,O,verb
يها,يها,يها,O,noun_prop
بعد,بعد,بُعْد,O,noun
موت,موت,مَوْت,O,noun
صخر,صخر,صَخْر,B-PERS,noun
بن,بن,بِن,I-PERS,noun_prop
مقبل,مقبل,مُقْبِل,I-PERS,adj
الى,إلى,إِلَى,O,prep
ان,أن,أَنَّ,O,conj_sub
انفصل,أنفصل,ٱِنْفَصَل,O,verb
بعمه,ب+_عمه,عَمّ,O,noun
هلمان,هلمان,هلمان,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
وبير,وبير,وبير,I-PERS,noun_prop
ثم,ثم,ثُمَّ,O,adv
اعيد,أعيد,أَعاد,O,verb
بعد,بعد,بُعْد,O,noun
عمه,عمه,عَمّ,O,noun
الاخر,الآخر,آخَر,O,adj
سنقر,س+_نقر,أَقَرّ,B-PERS,verb
بن,بن,بِن,I-PERS,noun_prop
وبير,وبير,وبير,I-PERS,noun_prop
ثم,ثم,ثُمَّ,O,adv
انفصل,أنفصل,ٱِنْفَصَل,O,verb
بعمه,ب+_عمه,عَمّ,O,noun
الاخر,الآخر,آخَر,O,adj
مسلط,مسلط,مُسَلِّط,B-PERS,adj
بن,بن,بِن,I-PERS,noun_prop
وبير,وبير,وبير,I-PERS,noun_prop
ثم,ثم,ثُمَّ,O,adv
اعيد,أعيد,أَعاد,O,verb
حتى,حتى,حَتَّى,O,prep
مات,مات,مات,O,verb
في,في,فِي,O,prep
اواخر,أواخر,آخِر,O,noun
جمادى,جمادى,جُمادَى,O,noun_prop
الاخرة,الآخرة,آخِرَة,O,noun
سنة,سنة,سَنَة,O,noun
ثمان,ثمان,ثَمانِي,O,noun
وخمسين,و+_خمسين,خَمْس,O,noun
واستقر,و+_استقر,ٱِسْتَقَرّ,O,verb
عوضه,عوضه,عَوَّض,O,verb
مخدم,مخدم,مُخَدِّم,B-PERS,noun
بن,بن,بِن,I-PERS,noun_prop
عقيل,عقيل,عَقِيل,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
وبير,وبير,وبير,I-PERS,noun_prop
وقد,و+_قد,قَدْ,O,part_verb
لقيت,لقيت,لَقِي,O,verb
صاحب,صاحب,صاحِب,O,noun
الترجمة,الترجمة,تَرْجَمَة,O,noun
بمحل,ب+_محل,مَحَلّ,O,noun
ولايته,ولايته,وِلايَة,O,noun
في,في,فِي,O,prep
سنة,سنة,سَنَة,O,noun
ست,ست,سِتّ,O,noun
وخمسين,و+_خمسين,خَمْس,O,noun
واطلق,و+_أطلق,أَطْلَق,O,verb
لي,لي,لِ,O,prep
ما,ما,ما,O,pron_rel
كان,كان,كان,O,verb
معي,معي,مَعْي,O,noun
عفا,عفا,عَفا,O,verb
الله,الله,اللَّه,B-MISC,noun_prop
عنه,عنه,عَن,O,prep
.,.,.,O,punc
