year,month,month_str,day,category,match,place
725.0,5.0,جمادى الاولى,11.0,, وذلك في حادي عشري جمادى الاولى سنة خمس وعشرين وسبعمائة بالمنشية,المنشية
37.0,,,,, وكذا اسمعه في سنة سبع وثلاثين,
42.0,,,,, من اعلى شيوخه سندا وليس عنده من اصحاب النجيب غيره وبذلك استدل شيخنا على تراخي جده في الطلب عن سنة اثنتين واربعين,
54.0,,,,, من تونس لسماع الموطا على خطيب جامع الزيتونة وبغداد فلم يقدر هذا مع انه مكث من رحلته الى الشام سنة اربع وخمسين,
,,,,, لم تخل له سنة,
45.0,,,,, وكان قد لهج بتخريج احاديث الاحياء وله من العمر نحو العشرين يعني سنة خمس واربعين,
52.0,,,,, جماعة لما راى من حرصه على الحديث وجمعه على طريقة اهله فحبب الله له ذلك ولازمه واكب عليه من سنة اثنتين وخمسين,
,,,,samia, وذكر في شرحه للالفية انه سمعه منه حديثا من مشيخة قاضي المرستان بل امتنع السبكي حين قدومه القاهرة سنة,
68.0,3.0,ربيع الاول,,, وحج مرارا وجاور بالحرمين وحدث فيهما بالكثير بل واملى عشارياته بالمدينة وسافر مرة للحج في ربيع الاول سنة ثمان وستين,
88.0,5.0,جمادى الاولى,12.0,, وولي قضاء المدينة النبوية وخطابتها وامامتها في ثاني عشر جمادى الاولى سنة ثمان وثمانين بعد,عد
91.0,10.0,شوال,13.0,, السراج بهما في ذلك ثم صرف الزين عن القضاء وما معه بعد مضي ثلاث سنين وخمسة اشهر وذلك في ثالث عشر شوال سنة احدى وتسعين بالشهاب,الشهاب
95.0,,,,, وشرع في الاملاء بالقاهرة من سنة خمس وتسعين,
806.0,2.0,صفر,,, اخر ما املاه كان في صفر سنة ست وثمانمائة,
806.0,8.0,شعبان,,death, مات عقب خروجه من الحمام في ليلة الاربعاء من شعبان سنة ست وثمانمائة بالقاهرة,القاهرة
,,,,death, ومات وله احدى وثمانون سنة,
,,,,, وربع سنة,
798.0,,,,, ابراهيم بن احمد السنجاري مما كتب به الى الكمال الشمني بعد موت شيخهما التاج بن موسى السكندري المتوفي بها سنة ثمان وتسعين وسبعمائة,
