year,month,month_str,day,category,match,place
727.0,,,,birth, ولد في سنة سبع وعشرين وسبعمائة بالقاهرة,القاهرة
32.0,,,,, كناصر الدين الايوبي وصالح بن مختار واحمد بن كشتغدي وعبد الرحمن بن المعمر البغدادي وعائشة الصنهاجية وكان اول سماعه سنة اثنتين وثلاثين,
29.0,,,,ijaza, واجاز له في سنة تسع وعشرين,
,End of,اخر,,, فهد تراجم شيوخه بالسماع والاجازة وفي اخرها اسانيد مسموعاته وتحول قديما من القاهرة الى الحجاز فاستوطن المدينة نحو خمسين سنة بل,ل
57.0,,,,samia, رايته سمع فيها على ابن سبع والبدر بن فرحون في سنة سبع وخمسين,
809.0,12,ذي الحجة,11.0,birth, وتزوج فيها وولد له عدة اولاد وولي قضاءها وخطابتها وامامتها في حادي عشر ذي الحجة سنة تسع وثمانمائة,
,,,,, عوضا عن البهاء محمد بن المحب الزرندي فسار فيها سيرة حسنة ثم صرف بعد سنة,
11.0,2,صفر,,, ونصف في صفر سنة احدى عشرة بزوج,زوج
95.0,,,,death, ومات سنة خمس وتسعين,
98.0,,,,, وقيل لي في سنة ثمان وتسعين,
766.0,7,رجب,,, فذكر شعرا من نظمه وعمل للمدينة تاريخا حسنا سماه تحقيق النصرة بتلخيص معالم دار الهجرة فرغ من تبييضه في رجب سنة ست وستين وسبعمائة,
75.0,,,,samia, وسمع منه عليه البرهان الابناسي سنة خمس وسبعين بقراءة,قراءة
805.0,,,,qaraa, الزين عبد الرحمن الفارسكوري وقرضه القارئ في الطبقة واقتدى به في تقريضه بالطبقة الصلاح الاقفيسي بعد قراءته في سنة خمس وثمانمائة,
86.0,2,صفر,,qaraa, وقراه عليه ابن الجزري في صفر سنة ست وثمانين بسعيد,سعيد
16.0,12,ذي الحجة,,death, مات بعد ان تغير على المعتمد يسيرا في مستهل ذي الحجة ومن قال في سادس عشر فقد وهم سنة ست عشرة بالمدينة,المدينة
15.0,,,,samia, في انبائه وكان بعض من يتعصب عليه ينسبه الى الخرف والتغير ولم يقع ذلك فقد سمعت منه بمكة في سنة خمس عشرة,
,,,,, وتجديد انعامه كل عام,
