year,month,month_str,day,category,match,place
36.0,,,,, كان قدومه مع جالبه في سنة ست وثلاثين,
69.0,,,,, فلما اكره الاتابك جرياش كرد المحمدي على الركوب في الايام الظاهرية خشقدم واخذه المماليك من تربته وذلك في اثناء سنة تسع وستين,
72.0,5.0,جمادى الاولى,11.0,, حذرا من غائلة الظاهر خصوصا وجرباش كان ايضا منفيا بها فلما انتهى الامر الى الظاهر تمربغا جئ به في حادي عشري جمادى الاولى سنة اثنتين وسبعين,
79.0,,,,death, وماتت زوجته ملكباي ابنة قرقماش في سنة تسع وسبعين,
,,,,istaqara, ودان له اهل تلك النواحي وفي اثناء تكلمه فيها كان قتل الدوادار يشبك من مهدي فاستقر به عوضه بعد سنة,
87.0,,,,death, وفي اثناء ذلك ماتت زوجته المشار اليها فتزوج في سنة سبع وثمانين,
89.0,5.0,جمادى الاولى,9.0,, فلما كان في تاسع جمادى الاولى سنة تسع وثمانين برزباش,رزباش
,,,,qaraa, التجريدة المجهزة لدفع على دولات اخي سوار وناب عنه في البحيرة مملوكه قراكز فلما قبض بقية خراج سنة,
91.0,11.0,ذي القعدة,,, وكان ما حكي في الحوادث ثم كان قدوم العساكر في اواخر ذي القعدة سنة احدى وتسعين,
93.0,6.0,جمادى الثانية,,, وهو متوعك فدام حتى سافر ايضا لدفع عسكر ابن عثمان صحبة الاتابك في جمادى الثانية سنة ثلاث وتسعين,
5.0,4.0,ربيع الثاني,,, ودام متعللا الى ان عاد معهم في ربيع الاول من التي تليها واستمر حتى سافر صحبة الاتابك ايضا في ربيع الثاني سنة خمس,
