year,month,month_str,day,category,match,place
623.0,,,,death, مات في سنة ثلاث وعشرين وستمائة,
,,,,, عن ثمانين سنة,
587.0,9.0,رمضان,4.0,birth, بابن المعتمد روى عن حنبل الرصافي وغيره وعنه جماعة منهم الدمياطي واورد عنه في معجمه حديثا وارخ مولده في رابع رمضان سنة سبع وثمانين وخمسمائة,
670.0,7.0,رجب,13.0,death, ومات في ثالث عشر رجب سنة سبعين وستمائة,
742.0,3.0,ربيع الاول,,death, عن ثلاث وثمانين وذكره الذهبي ايضا وحفيده الشرف محمد بن ابراهيم يروي عن الفخر بن البخاري ومات في ربيع الاول سنة اثنتين واربعين وسبعمائة,
873.0,,,,death, ووالد صاحب الترجمة مات في سنة ثلاث وسبعين وثمانمائة,
843.0,11.0,ذي القعدة,13.0,birth, واما هذا فولد في ثالث عشر ذي القعدة سنة ثلاث واربعين وثمانمائة بصالحية,صالحية
54.0,9.0,رمضان,,, دمشق ونشا بها فحفظ القران وقام به على العادة في رمضان سنة اربع وخمسين,
64.0,10.0,شوال,,, لابن الناظم والنحو ايضا عن الشهاب الزرعي والفرائض والحساب على الشمس بن حامد الصفدي واذن له بالافتاء فيها في شوال سنة اربع وستين,
71.0,7.0,رجب,,, بها في التي تليها بل اذن له فيها البدر بن قاضي شهبة بالافتاء اذنا عاما وناب في القضاء في رجب سنة احدى وسبعين,
59.0,,,,samia, العجالة حاشية في ثلاث مجلدات واشياء مفرقة من تاريخ وغيره بل له نظم وكتب المنسوب وسمع معنا بدمشق في سنة تسع وخمسين,
95.0,,,,, على جدته والشهابين ابن الشحام وابن الزين عمر بن عبد الهادي والشمس ابو خوارش وروفع فيه فقدم القاهرة في سنة خمس وتسعين,
