year,month,month_str,day,category,match,place
825.0,5,جمادى الاولى,,birth, ولد في ليلة النصف من جمادى الاولى سنة خمس وعشرين وثمانمائة بمكة,مكة
27.0,End of,اخر,,ijaza, الزين القبابي ومن الخليل التدمري وابراهيم بن حجي في اخرين منها ومن غيرها بل اجاز له في جملة اخوته سنة سبع وعشرين,
51.0,,,,, والجمال بن الخياط واخذ عن شيوخ بلده والواردين اليها بل ارتحل الى الديار المصرية في الطلب مرتين الاولى في سنة احدى وخمسين,
53.0,,,,, والثانية في سنة ثلاث وخمسين,
,,,,, واقام في كل مرة منهما سنة,
47.0,,,,, الفقه عمه المذكور لازمه كثيرا وكذا البدر حسين الاهدل اليماني والشمس البلاطنسي والكمال الاسيوطي حين مجاورة الثلاثة الاول في سنة سبع واربعين,
57.0,,,,, والثاني في سنة سبع وخمسين,
43.0,,,,, والثالث في سنة ثلاث واربعين,
50.0,,,,qaraa, الهمام وابن امام الكاملية والامين الاقصرائي فقرا على الاول شرح البيضاوي للاسنائي وعلى الثاني المتن وعلى الثالث في مجاورته سنة خمسين,
48.0,,,,, غالبه عليه في رحلتيه وعلى الخامس نحو النصف الاول من شرحه الصغير للمنهاج الاصلي فقطعة من اوله في مجاورته سنة ثمان واربعين,
56.0,,,,qaraa, الركن عمر بن قديد والشمس بن حسان وكذا الشمني وابن امام الكاملية وابو الفضل فقرا على الاول في مجاورته سنة ست وخمسين,
57.0,,,,, نحو النصف من شرح الطوالع للدارحديني وعلى كل من الثاني في رحلته الاولى والرابع في مجاورته سنة سبع وخمسين,
48.0,,,,qaraa, والشمني والاقصرائي وابو الفضل فقرا على كل منهم قطعة من شرح الشمسية والشمس بن سارة قرا عليه في مجاورته سنة ثمان واربعين,
49.0,,,,laqiya, لقيته مرة في مكة سنة تسع واربعين,
53.0,,,,, وتصدى في حياة جمهور شيوخه للاقراء بالمسجد الحرام غير متقيد بمحل يجلس فيه ثم في اوائل سنة ثلاث وخمسين,
55.0,8,شعبان,16.0,istaqara, استقر في الخطابة بالمسجد الحرام عوضا عن الاخوين الخطيبين ابي القسم وابي الفضل ابني ابي الفضل النوري وذلك في سادس عشر شعبان سنة خمس وخمسين,
57.0,6,جمادى الاخرة,,infasala, م انفصل عنها في اول جمادى الاخرة سنة سبع وخمسين,
59.0,1,محرم,,, تزويجه بابنته وترويجه بضمه الى جهته وكان لهما بذلك مزيد الفخر ولمناوئهما من اجله غاية القهر واستولدها بيقين في المحرم سنة تسع وخمسين,
62.0,6,جمادى الاخرة,17.0,, شوال منها عوضا عن طوغان شيخ وقرئ توقيعه في يوم الخميس مستهل ذي الحجة ثم قضاء الشافعية بمكة في سابع عشري جمادى الاخرة سنة اثنتين وستين,
66.0,2,صفر,10.0,, الائمة الاعيان فما وسعه الا مفارقة البلد ومعانقة الكمد والجلد واعيد صاحب الترجمة الى الخطابة شريكا لاخيه المذكور في عاشر صفر سنة ست وستين,
68.0,2,صفر,6.0,infasala, عوضا عن ابني النويري ايضا ثم انفصلا عنها بهما في سادس صفر سنة ثمان وستين,
69.0,8,شعبان,,infasala, عشري ربيع الاخر منها وقرئ توقيعهما في يوم الجمعة سابع عشر جمادى الاولى ثم انفصلا بابني النويري ايضا في شعبان سنة تسع وستين,
75.0,10,شوال,10.0,, واستمر على وظيفة القضاء والنظر الى ان صرف عن القضاء فقط في عشر شوال سنة خمس وسبعين بابن,ابن
6.0,,,,, يحصل التشفي منه بازيد من مجرد العزل اضيف اليه لمزيد التشفي صرفه عن نظر المسجد الحرام ايضا في اوائل سنة ست بالمحب,المحب
77.0,,,,death, تنساها او كما قال وتكدر على الفاكهي امره بل قهر عن قرب اشد القهر ومات وقبل ذلك في موسم سنة سبع وسبعين,
8.0,1,محرم,14.0,, السعود الجمالي ومن شاء الله من بني عمه واقربائه وغيرهم الى الامتثال ووصل القاهرة مع الحاج في يوم السبت رابع عشري المحرم سنة ثمان بعد,عد
84.0,,,,, والاقراء وعد ذلك من وفور عقله فعاد الى مكة وقد تزايدت وجاهته وتناهت ضخامته الى ان حج السلطان في سنة اربع وثمانين بعد,عد
91.0,11,ذي القعدة,6.0,death, لقوته ضعف واستمر به حتى مات مكرما بالشهادة وهو حاضر الذهن الى حين طلوع روحه في عشاء ليلة الجمعة سادس ذي القعدة سنة احدى وتسعين,
