year,month,month_str,day,category,match,place
93.0,,,,, عند اقبردي الاشرفي وتردد في غضونها للشهابي بن العيني فساعده في التوجه للطور ناظرا على مكوسها ثم الى جدة في سنة ثلاث وتسعين,
95.0,,,,, ثم سافر في سنة خمس وتسعين,
99.0,,,,, وبطلانه مع كونه مستمدا من جهات زوجته فهي ابنة الامير شهاب الدين احمد بن اينال ويقال انه قادم في سنة تسع وتسعين,
87.0,,,,samia, عرض بمكة على بعض محافيظه وسمع مني اشياء ثم صلى بالناس في مقام الحنابلة التراويح في سنة سبع وثمانين,
63.0,3.0,ربيع الاول,,death, مات بمكة في ربيع الاول سنة ثلاث وستين,
14.0,,,,samia, ارخه ابن فهد وكان له اخ اسمه عبد الله سمع في سنة اربع عشرة,
42.0,,,,death, مات في اسكندرية سنة اثنتين واربعين,
763.0,,,,birth, ولد سنة ثلاث وستين وسبعمائة بحلب,حلب
97.0,,,,, وحج قبل القرن من حلب ثلاث مرات وارتحل منها لدمشق والقدس وفيه سنة سبع وتسعين,
801.0,,,,qaraa, ودخل القاهرة فقرا في سنة احدى وثمانمائة,
15.0,,,,istaqara, ثم ولاه الناصر قضاء طرابلس استقلالا ثم انفصل عنه ورجع الى القاهرة واستقر في قضاء المحمل بعد سنة خمس عشرة,
,,,30.0,, فدام نحو ثلاثين سنة,
50.0,4.0,ربيع الثاني,,death, مات في ربيع الثاني سنة خمسين بالقاهرة,القاهرة
797.0,,,,birth, ولد سنة سبع وتسعين وسبعمائة,
40.0,2.0,صفر,19.0,death, مات في ليلة الاحد تاسع عشر صفر سنة اربعين بدمشق,دمشق
865.0,,,,birth, ولد سنة خمس وستين وثمانمائة,
97.0,,,,qaraa, تقريبا بخراسان ونشا بها وقرا جل القران ثم تحول بعد موت ابويه الى مكة في سنة سبع وتسعين,
7.0,,,,, والمحب بن ولازم كلا من السيد المشار اليه والشهاب الخولاني بل الجمالي ابي السعود في الفقه وكذا لازمني في سنة سبع,
95.0,,,,, وشيخها في العقليات مع فضيلة في الفقه وترقى بعد الفاقة وزوج بنته في بيت البارزي وهو الان حي في سنة خمس وتسعين,
98.0,,,,laqiya, احد من لقيني بمكة في موسم سنة ثمان وتسعين,
33.0,,,,death, واستمر بها حتى مات في طاعون سنة ثلاث وثلاثين,
