year,month,month_str,day,category,match,place
791.0,11.0,ذي القعدة,,birth, ولد في ليلة الجمعة منتصف ذي القعدة سنة احدى وتسعين وسبعمائة بدمشق,دمشق
803.0,,,,qaraa, ونشا بها فقرا القران على الزين عمر بن اللبان المقرئ ثم تحول في سنة ثلاث وثمانمائة,
809.0,,,,laqiya, ولقي بسمرقند في سنة تسع وثمانمائة,
,,,,, الشيخ عربان الادهمي الذي استفيض هناك انه ابن ثلثمائة سنة,
,,,,death, الخوافي واخذ عنه العربية ايضا فلما مات ابن عثمان رجع الى وطنه القديم فدخل حلب فاقام بها نحو ثلث سنة,
25.0,6.0,جمادى الاخرة,,, ثم الشام وكان دخوله لها في جمادى الاخرة سنة خمس وعشرين,
30.0,,,,qaraa, يسيرا لكون معظم اوقاته الانعزال عن الناس وقرا بها على القاضي شهاب الدين بن الحبال الحنبلي صحيح مسلم في سنة ثلاثين,
32.0,,,,, فلما قدم العلاء البخاري سنة اثنتين وثلاثين,
36.0,9.0,رمضان,7.0,, بل كتب عنه من نظمه ليدخله في البلدانيات فقال انشدني بمنزلة برزة بالقرب من قرية القابون التحتاني في سابع رمضان سنة ست وثلاثين,
50.0,,,,laqiya, وقد لقيته بالقاهرة في الخانقاه الصلاحية سنة خمسين,
54.0,7.0,رجب,,death, ومات بالخانقاه المذكورة في يوم الاثنين منتصف رجب سنة اربع وخمسين,
11.0,,,,, كان ممن اسر مع اللنك ونقل الى سمرقند ثم خرج منها في سنة احدى عشرة,
25.0,,,,, وجال ببلاد الشرق ورجع الى دمشق في سنة خمس وعشرين,
40.0,,,,, وقدم القاهرة في سنة اربعين,
