year,month,month_str,day,category,match,place
795,3.0,ربيع الاول,,birth, ولد في سلخ ربيع الاول سنة خمس وتسعين وسبعمائة بمكة,مكة
18,,,,, وناب في القضاء بمكة عن ابيه في سنة ثماني عشرة,
20,,,,, وولي خطابتها في سنة عشرين,
22,10.0,شوال,,, ولكنه عورض ولم يتمكن من المباشرة ثم ولي نظر المسجد الحرام والحسبة بمكة في شوال سنة اثنتين وعشرين,
7,,,,death, امام المقام عبد الهادي بن ابي اليمن الطبري حتى يراجع وبعد المراجعة استقل ابو الفضل بالوظائف فلما مات وذلك سنة سبع,
30,9.0,رمضان,,, وقدم الى مكة في شعبانها ثم اضيف اليه في رمضان سنة ثلاثين,
37,,,,infasala, الوظائف الثلاثة ثم انفصل عن الجميع واقام مقبلا على الاشغال ونفع الطلبة ثم اعيد الى القضاء والنظر في سنة سبع وثلاثين,
42,5.0,جمادى الاولى,,infasala, ثم انفصل عن النظر ثم عن القضاء في جمادى الاولى سنة اثنتين واربعين,
46,3.0,ربيع الاول,,infasala, ثم اعيد الى الخطابة والحسبة في شوالها ولكنه انفصل عنهما عن قرب فيها ثم اعيد الى القضاء في ربيع الاول سنة ست واربعين,
49,10.0,شوال,,, ثم اعيد اليه في شوال سنة تسع واربعين,
52,11.0,ذي القعدة,,, ثم صرف عنه في ذي القعدة سنة اثنتين وخمسين,
56,,,,laqiya, اشياء لم يبيض منها شيئا ولذا الم اسمها وان سميتها في المعجم وله ابيات في الدماء ولقيته بمكة في سنة ست وخمسين,
61,2.0,صفر,9.0,death, مات ببلده في اخر يوم الخميس تاسع صفر سنة احدى وستين,
