year,month,month_str,day,category,match,place
784.0,,,,, انتقل الى سمرقند ثم زحف الى خراسان وطال تحرشه بها وحروبه مع صاحبها شاه ولي الى ان ملكها عليه سنة اربع وثمانين وسبعمائة,
88.0,,,,, ولي في قلة الى تبريز وبها احمد بن اويس بن حسن صاحب العراق واذربيجان الى ان زحف عليهم تيمور سنة ثمان وثمانين,
94.0,,,,, وشغل بحروبه الى ان محى اثره واشتغل بسلطان المغل وزاحم طقتمش مرارا حتى اوهن امره ثم رجع الى اصفهان سنة اربع وتسعين,
94.0,End of,اخر,,, فملكها ثم سار الى فارس وبها اعقاب بني المظفر اليزدي المتغلبين عليها بعد هلاك بني هولاكو فملكها من ايديهم اخر سنة اربع وتسعين,
5.0,,,,, ثم زحف الى بغداد سنة خمس,
97.0,,,,qaraa, الروم واناخ على قرا باغ باش اذربيجان والابواب ورجع طقتمش صاحب اليخت الى صراي ثم سار اليه تيمور اول سنة سبع وتسعين,
802.0,End of,اخر,,, ثانيا لانها كانت استرجعت من نائبه بها وهرب منها احمد بن اويس فلحق بالشام ثم قصد تيمور سيواس في اخر سنة اثنتين وثمانمائة,
3.0,3,ربيع الاول,9.0,, بحلب ووصل تيمور الى مرج دابق وجهز رسولا الى حلب فامر سودون النائب بقتله ثم نزل في يوم الخميس تاسع ربيع الاول سنة ثلاث,
4.0,,,,qaraa, ولما رجع الى جهة بلاده اناخ على قرا باغ الى السنة الثانية وهي سنة اربع,
7.0,8,شعبان,17.0,death, مات وهو متوجه لاخذ بلاد الخطا على مدينة اترار في ليلة الاربعاء سابع عشر شعبان سنة سبع,
805.0,,,,death, في فارس وكان تيمور قد جعل اولا ولي عهده حفيده محمد سلطان فمات على اقشهر من بلاد الروم في سنة خمس وثمانمائة,
,,,,, ولعله قارب الثمانين فانه قال للقاضي شرف الدين الانصاري وغيره كم سنكم فقال له الشرف سني الان سبعة وخمسون سنة,
