year,month,month_str,day,category,match,place
2.0,5,جمادى الاولى,3.0,death, مات في ثالث جمادى الاولى سنة اثنتين,
796.0,9,رمضان,,birth, ولد في رمضان سنة ست وتسعين وسبعمائة بحلب,حلب
847.0,3,ربيع الاول,,birth, ولد في ربيع الاول سنة سبع واربعين وثمانمائة ببيت,بيت
77.0,,,,, وقدم القاهرة في سنة سبع وسبعين,
805.0,4,ربيع الاخر,,birth, ولد في ربيع الاخر سنة خمس وثمانمائة بالقاهرة,القاهرة
82.0,10,شوال,,death, بعض مجالس الاملاء وكان ساكنا متوددا عاقلا حسن العشرة والاخلاق بساما حصل له ارتعاش فدام به حتى مات في شوال سنة اثنتين وثمانين,
842.0,,,,birth, ولد في سنة اثنتين واربعين وثمانمائة,
780.0,,,,, احضر في الثانية سنة ثمانين وسبعمائة,
43.0,,,,death, مات سنة ثلاث واربعين بدمشق,دمشق
44.0,10,شوال,,death, مات بمكة في شوال سنة اربع واربعين,
781.0,,,,birth, ولد في سنة احدى وثمانين وسبعمائة ببلاد,بلاد
,,,20.0,, واقام ببيت المقدس عشرين سنة,
14.0,End of,اخر,,samia, ثم انقطع باخرة بمكة وسمع بها في سنة اربع عشرة,
43.0,8,شعبان,10.0,death, مات في ظهر يوم الثلاثاء عشري شعبان سنة ثلاث واربعين,
801.0,12,ذي الحجة,,birth, ولدكما ذكر في ذي الحجة سنة احدى وثمانمائة,
44.0,,,,, الكتاب بعد زيادة الفاظ في التراجم فيما قيل وتالم شيخنا كثيرا لذلك وقد اشار لشيء من ترجمته في حوادث سنة اربع واربعين,
23.0,,,,, ثم كان ممن حج مع مخدومه الكمال بل حج قبل ذلك في سنة ثلاث وعشرين,
65.0,,,,death, فاضلا لكنه ضيع نفسه وقد كثر اجتماعي به اتفاقا وسمعت من فوائده وحكاياته وتنديباته وتزايد خموله حتى مات في سنة خمس وستين,
60.0,7,رجب,,death, مات بمكة في رجب سنة ستين,
94.0,1,محرم,,laqiya, لقيني في المحرم سنة اربع وتسعين بمكة,مكة
3.0,7,رجب,,death, ولوجاهته عند تمر صارت لصاحب الترجمة وجاهة في ايام الفتنة فلما رحل عن دمشق اخذ وعوقب حتى مات في رجب سنة ثلاث,
91.0,8,شعبان,,death, مات في شعبان سنة احدى وتسعين,
780.0,,,,birth, ولد في حدود سنة ثمانين وسبعمائة بالمدينة,المدينة
50.0,,,,death, مات في حدود سنة خمسين,
835.0,12,ذي الحجة,13.0,birth, ولد في ثالث عشر ذي الحجة سنة خمس وثلاثين وثمانمائة,
62.0,3,ربيع الاول,10.0,death, وسافر الى مكة فحج واقام بها على طريقته حتى مات في ليلة الخميس عاشر ربيع الاول سنة اثنتين وستين,
96.0,,,,birth, وله ولد عرض علي كتبا في سنة ست وتسعين,
763.0,2,صفر,15.0,birth, ولد بين العشاءين ليلة الجمعة خامس عشري صفر سنة ثلاث وستين وسبعمائة بدرب,درب
87.0,,,,, احمد الفقيه الشافعي نزيل جامع اصلم وبالحديث على الزين العراقي اخذ عنه علوم الحديث لابن الصلاح وبعضه بقراءته في سنة سبع وثمانين بحثا,حثا
97.0,,,,, وتحقيقا والعربية عن الشمس الغماري اخذ عنه الفصول ليحيى بن عبد المعطى في سنة سبع وتسعين,
41.0,10,شوال,17.0,birth, ومات مطعونا في منزله الذي ولد به في ضحى يوم الثلاثاء سابع عشري شوال سنة احدى واربعين,
746.0,6,جمادى الثانية,,birth, ولد في جمادى الثانية سنة ست واربعين وسبعمائة,
34.0,,,,death, مات سنة اربع وثلاثين,
85.0,7,رجب,10.0,, الدور الحلبية مما قيل انه المحسن فعله له فكان ذلك سببا لاثارة الفتنة واجتماع الجم الغفير والغوغاء في باكر عشري رجب سنة خمس وثمانين,
3.0,,,,death, معجمه لقيته بالصالحية فقرات عليه اخبار ابراهيم بن ادهم وغيرها بحضوره في الثالثة على الحجار ومات في الكائنة العظمى سنة ثلاث,
