year,month,month_str,day,category,match,place
,,,,, لمن عرفته منهم في المعجم ويعرف كسلفه بابن قاضي شهبة لكون النجم والد جده اقام قاضيا بشهبة السوداء اربعين سنة,
779.0,3,ربيع الاول,14.0,birth, ولد في رابع عشري ربيع الاول سنة تسع وسبعين وسبعمائة بدمشق,دمشق
,,,10.0,death, ومات ابوه وهو ابن احدى عشرة سنة بعد,عد
40.0,,,,, بعضهم من غيرهم ومن جده الشمس وتدرب على التاريخ بالشهاب بن حجي وله على تاريخه ذيل انتهى فيه الى سنة اربعين,
42.0,5,جمادى الاولى,,, مجلدات وشرح التنبيه سماه كافي النبيه وحج وزار بيت المقدس وناب في القضاء بدمشق مدة ثم استقل به في جمادى الاولى سنة اثنتين واربعين,
44.0,10,شوال,,infasala, اينال الجكمي للعزيز يوسف بن الاشرف برسباي ثم اعيد بعد الونائي في شوال التي تليها وانفصل عن قرب اول سنة اربع واربعين,
51.0,11,ذي القعدة,11.0,birth, ايضا ولما انقضى اربه من الزيارة عاد فمات فجاة وهو جالس يصنف ويكلم ولده البدر بعد عصر يوم الخميس حادي عشر ذي القعدة سنة احدى وخمسين,
200.0,,,,, وخطه فائق دقيق وبيع في تركته نحو سبعمائة مجلد كاد ان يستوفيها مطالعة والف التاريخ الكبير ابتدا فيه من سنة مائتين,
792.0,,,,, الى سنة اثنتين وتسعين وسبعمائة,
741.0,End of,اخر,,, وفي اثنائه خرم اكمله بعض تلامذته وذيلا على تواريخ المتاخرين الذهبي والبرزالي وابن رافع وابن كثير وغيرهم وابتداه من سنة احدى واربعين وسبعمائة,
,,,,, الى سنة,
37.0,,,,, رسوله لشاه رخ كان احد اربعة ساله عنهم فاجابه ببقائهم فقال الحمد لله بعد في الناس بقية حج في سنة سبع وثلاثين,
51.0,1,محرم,,, وقدم القدس في المحرم سنة احدى وخمسين,
