year,month,month_str,day,category,match,place
787.0,11,ذي القعدة,,birth, ولد في نصف ذي القعدة سنة سبع وثمانين وسبعمائة بالقاهرة,القاهرة
55.0,9,رمضان,17.0,death, ولم يزل ملازما لبيته على طريقته حتى مات في ليلة السبت سابع عشري رمضان سنة خمس وخمسين بعد,عد
794.0,1,محرم,,birth, ولد في المحرم سنة اربع وتسعين وسبعمائة ببصرى,بصرى
18.0,,,,, ثم تحول لدمشق سنة ثمان عشرة بعد,عد
20.0,,,,, قبل انتقالي لدمشق انه لا يمضي على سنتان حتى يؤذن لي بالافتاء فكان كذلك اذن لي البرهان به في سنة عشرين,
71.0,End of,اخر,,death, وهو من اقران التاج محمد بن بهادر الماضي ولكنه عمر حتى مات في اواخر سنة احدى وسبعين,
45.0,9,رمضان,,, في منزله من العنابة بدمشق وكان قد دخل القاهرة في رمضان سنة خمس واربعين,
770.0,,,,birth, ولد في سنة سبعين وسبعمائة بطندتا,طندتا
85.0,,,,, ثم تحول الى القاهرة في سنة خمس وثمانين,
15.0,,,,, وحج في سنة خمس عشرة,
37.0,,,,, ثم في سنة سبع وثلاثين,
52.0,11,ذي القعدة,13.0,death, مات بعد ان رغب عن الخطابة لنور الدين بن داود في يوم الاحد ثالث عشري ذي القعدة سنة اثنتين وخمسين بخانقاه,خانقاه
,,,,, ودفن خارج باب النصر عن اثنتين وثمانين سنة,
760.0,,,,birth, ولد قبل سنة ستين وسبعمائة,
78.0,1,محرم,,birth, تقريبا وقول ولده انه في المحرم سنة ثمان وسبعين,
78.0,,,,, ثم ارتحل الى القاهرة في سنة ثمان وسبعين,
92.0,8,شعبان,,, وتكرر دخوله القاهرة ورايت سماعه فيها لجزء ابن فيل على السراج عمر الكومي في شعبان سنة اثنتين وتسعين بمنزل,منزل
805.0,,,,, ودخل القاهرة بعد سنة خمس وثمانمائة,
53.0,2,صفر,16.0,death, ولم يزل في ازدياد من الجلالة حتى مات مطعونا في يوم الاحد سادس عشري صفر سنة ثلاث وخمسين,
,,,,, عن ازيد من تسعين سنة,
,,,20.0,, فيه فريقان وبلغني ان العز عبد السلام القدسي كان يقول انه من بيت لم يزل فيهم الصلاح من ثلثمائة وعشرين سنة,
748.0,11,ذي القعدة,5.0,birth, ولد كما راه بخط ابيه بعد عصر يوم الاربعاء خامس ذي القعدة سنة ثمان واربعين وسبعمائة بالمدينة,المدينة
741.0,,,,death, صيتا فبعث به من القاهرة ثالث ثلاثة ليؤذنوا بالمسجد النبوي لخلوها من عارف بالميقات فباشروا ذلك ثم مات الجمال سنة احدى واربعين وسبعمائة,
,,,,ijaza, واجاز له في سنة,
51.0,,,,birth, مولده ابو الفتوح الدلاصي والميدومي وغيرهما بعد ابن الخباز وابن القيم ومحمود المنبجي وخلق منهم من بغداد في سنة احدى وخمسين,
11.0,,,,, وولي رياسة المؤذنين بالحرم النبوي كابيه وجده وقضاء المدينة وخطابتها وامامتها في سنة احدى عشرة,
762.0,7,رجب,10.0,birth, ولد كما نقله اخوه عن ابيهما في صبيحة يوم الاحد عاشر رجب سنة اثنتين وستين وسبعمائة بالمدينة,المدينة
6.0,12,ذي الحجة,18.0,death, ومات بمكة كاخيه في ثامن عشري ذي الحجة سنة ست,
3.0,9,رمضان,,birth, ات اسفا على ولده احمد الذي اسره اللنكية وهو شاب له نحو العشر في رمضان سنة ثلاث,
732.0,,,,birth, ولد سنة اثنتين وثلاثين وسبعمائة,
3.0,5,جمادى الاولى,11.0,death, ومات في الكائنة العظمى في حادي عشري جمادى الاولى سنة ثلاث,
822.0,,,,birth, ولد في سنة اثنتين وعشرين وثمانمائة ببيت,بيت
25.0,4,ربيع الاخر,,, نسخة ابراهيم بن سعد وكذا احضر فيها على ابراهيم بن حجي والخطيب التدمري الخليليين اصحاب الميدومي وفي الثالثة في ربيع الاخر سنة خمس وعشرين,
53.0,,,,, لابن عمه ابي الحرم ومشيخة الحديث بالاقصى وغير ذلك من التصادير ونحوها كالاعادة بالصلاحية وحج غير مرة منها في سنة ثلاث وخمسين,
89.0,,,,, ودخل الشلام وكذا القاهرة غير مرة منها في سنة تسع وثمانين,
