year,month,month_str,day,category,match,place
768.0,7,رجب,17.0,birth, ولد في يوم الثلاثاء سابع عشر رجب سنة ثمان وستين وسبعمائة,
66.0,,,,, كما كتبه بخطه واخبرنا به غير مرة ونقل ابيه انه في سنة ست وستين,
97.0,,,,, الصوفية كالشيخ محمد القرمي وعبد الله البسطامي وسعد الهندي وابي بكر الموصلي قال وكنت ودعته عند توجهي للحج في سنة سبع وتسعين,
801.0,,,,, وجد في العلوم حتى رجح على والده في حياته وحج مرارا اولها في سنة احدى وثمانمائة,
21.0,,,,, ومرة في سنة احدى وعشرين,
27.0,,,,death, على ابيه وهو قاضي الحنفية بها ثم وردها بعد موته في ثاني عيد الاضحى سنة سبع وعشرين,
42.0,1,محرم,,istaqara, ولم يلبث ان سئل في قضاء الحنفية والح عليه حتى قبله واستقر فيه في المحرم سنة اثنتين واربعين,
50.0,,,,, وقرض لي بعض تصانيفي في سنة خمسين,
,End of,اخر,,, في جزء واخرى في هل تنام الملائكة ام لا وهل منع الشعر مخصوص بنبينا صلى الله عليه وسلم ام عام,
40.0,,,,, اعمل قصيدة كاملة على مهلك قال فنظمت قصيدة نحو سبعين بيتا لكن لم اقيدها بالكتابة فلما كان في حدود سنة اربعين,
67.0,4,ربيع الاخر,9.0,death, الاستعفاء فاجيب لذلك وفصل عنه بالمحب بن الشحنة وعن المؤيدية بابنه التاج عبد الوهاب واستمر متوعكا حتى مات في تاسع ربيع الاخر سنة سبع وستين بمصر,مصر
