year,month,month_str,day,category,match,place
842.0,2.0,صفر,12.0,birth, ولد كما اخبرني به في ثاني عشر صفر سنة اثنتين واربعين وثمانمائة,
46.0,,,,, وترجح عنده انه في سنة ست واربعين,
9.0,,,,, وزار بيت المقدس مرارا من جملتها في سنة تسع,
,,,,, خمسمائة زيادة على معلومهما بل عينه برفقة الرسول لملك الروم ابن عثمان واعطاه مبلغا مع كونه لو انفرد لكفاه سنة,
98.0,,,,laqiya, وقد تكرر تردده الي بالقاهرة ثم لقيته بمكة حين قدومه لها هو وحسين نزيل القبة الدوادارية من اثناء سنة ثمان وتسعين,
68.0,3.0,ربيع الاول,2.0,death, مات فجاة في اخر ليلة الاثنين ثاني ربيع الاول سنة ثمان وستين,
48.0,,,,, قدم القاهرة في سنة ثمان واربعين,
815.0,,,,birth, ولد تقريبا سنة خمس عشرة وثمانمائة بالقاهرة,القاهرة
79.0,5.0,جمادى الاولى,4.0,death, مات في ليلة الجمعة رابع جمادى الاولى سنة تسع وسبعين بعد,عد
36.0,9.0,رمضان,,death, مات في رمضان سنة ست وثلاثين بحلب,حلب
748.0,,,,birth, ولد سنة ثمان واربعين وسبعمائة,
760.0,5.0,جمادى الاولى,9.0,istaqara, واستقر في المملكة بعد القبض على عمه الناصر حسن في تاسع جمادى الاولى سنة وستين وسبعمائة,
,,,10.0,, وهو ابن نحو اربع عشرة سنة بقيام,قيام
64.0,8.0,شعبان,,, الطاعة وعاد به سريعا بعد اخذ بيدمر صلحا الى ان خلعه بابن عمه الاشرف شعبان بن حسين في منتصف شعبان سنة اربع وستين,
,1.0,محرم,9.0,death, سبب خلعه فكانت مدته سنتين وثلاثة اشهر وخمسة ايام والزمه داره من القلعة الى ان مات في ليلة السبت تاسع المحرم سنة,
51.0,9.0,رمضان,14.0,birth, ولد في ليلة رابع عشر رمضان سنة احدى وخمسين بالقاهرة,القاهرة
56.0,,,,, وكان معه في سنة ست وخمسين بمكة,مكة
42.0,,,,death, مات سنة اثنتين واربعين,
