year,month,month_str,day,category,match,place
780,3.0,ربيع الاول,,qaraa, ولد كما قراته بخطه في صبيحة يوم الاحد ثالث عشرى ربيع الاول سنة ثمانين وسبعمائة بتونس,تونس
88,,,,, عبد العزيز العجيسي التلمساني وابي عبد الله محمد بن عبد الربعي الصقلي وقال ان اول سماعه له كان في سنة ثمان وثمانين,
90,,,,, وهو ابن تسع واول اشتغاله في القراءات في سنة تسعين,
94,,,,, وفي الفقه في سنة اربع وتسعين,
12,,,,, وارتحل في سنة اثنتي عشرة,
37,,,,, وتحول شافعيا ثم ولي قضاء نابلس في سنة سبع وثلاثين,
780,,,,, وانه اخبره بمولده وانه سنة ثمانين وسبعمائة,
36,,,,samia, واستحضار طرف من التاريخ وغيره وقال انه سمع منه بعض الطلبة المسلسل بالاولية بسند اوقفت عليه وسمي شيخنا في سنة ست وثلاثين,
48,,,,, وقال في سنة ثمان واربعين,
37,,,,, وكذا قال في سنة سبع وثلاثين,
80,,,,birth, وقد حدث بحلب عن البطرني وما اظنه سمع منه فانه ذكر لنا ان مولده سنة ثمانين ببلده,بلده
90,,,,death, وكان البطرني بتونس ومات بعد سنة تسعين,
37,11.0,ذي القعدة,,, اسمع عنه الاعاجيب من كثرة الحفظ للاخبار القديمة والقوة على جوب البلاد والقدرة على مداخلة الناس حتى اجتمعت به ذي القعدة سنة سبع وثلاثين,
48,,,,, قد خرج في سنة ثمان واربعين,
59,,,,death, وتبعه خلق منهم ثم احسن منهم بانحلال عنه فانسل نحو بلاد الشمال حتى مات باللاذقية من بلاد طرابلس الشام سنة تسع وخمسين,
62,2.0,صفر,,, يعني في المحرم قال بعضهم ثم اخبرت انه في صفر سنة اثنتين وستين,
9,,,,, وقد ارخه في سنة تسع,
54,3.0,ربيع الاول,,death, وجازف من قال انه مات بمصر في ربيع الاول سنة اربع وخمسين,
