year,month,month_str,day,category,match,place
842.0,9,رمضان,16.0,birth, ولد في مغرب ليلة الثلاثاء سادس عشر رمضان سنة اثنتين واربعين وثمانمائة بمكة,مكة
,,,10.0,death, ومات ابوه وهو ابن احدى عشرة سنة,
43.0,End of,اخر,,ijaza, وجزء ابي الجهم بفوت في اخره وجزء ايوب وغيرها وعلى التقي بن فهد ختم مسند عبد واجاز له في سنة ثلاث واربعين,
75.0,,,,qaraa, عن العز الكناني بالقاهرة والعلاء المرداوي واشتدت ملازمته له حتى قرا عليه غير تصنيف والتقي الجراعي في مجاورتهما بمكة سنة خمس وسبعين,
58.0,,,,, الشيرازي في فنون من العقليات واذن له الاقصرائي والتقي الحصني وغيرهما واول ما دخل القاهرة صحبة الحاج في اوائل سنة ثمان وخمسين,
62.0,5,جمادى الاول,,, مقام الحنبلي بالمسجد الحرام عوضا عن والده وباشرها في يوم السبت خامس جمادى الاولى منها ثم دخلها ايضا في سنة اثنتين وستين,
65.0,11,ذي القعدة,,, المصري وهو لابس الخلعة في صبيحة يوم الخميس تاسع عشري ذي القعدة منها وقرىء توقيعه ثم اضيف اليه في سنة خمس وستين,
,,,,, بالذكر والاوراد والتلاوة الجيدة بصوته الشجي المنعش حتى ارتقى الى غاية شريفة في الخير سيما وهو يتوجه في كل سنة,
,,,,, الى المدينة النبوية ويقيم غالبا بها نصف سنة,
,,,,, وربما اقام بها سنة,
1.0,,,,, كاملة بل جمع بين المساجد الثلاثة في عام واحد,
86.0,,,,, فانه توجه في سنة ست وثمانين,
87.0,,,,, جل رفاقه القضاة حتى لا يجلس في محل لا يرضاه وقد رافقته في التوجه من مكة الى المدينة في سنة سبع وثمانين,
,,,,, الى غيرها ثم تزايد من الافضال والثناء حتى بامير الحرمين في التماس اقتفائي في الزيارة حين توجهي في قافلته سنة,
98.0,8,شعبان,14.0,death, وفاته الى ان مات وذلك في ضحى يوم الخميس رابع عشر شعبان سنة ثمان وتسعين بعد,عد
