year,month,month_str,day,category,match,place
774,,,,birth, ولد في سنة اربع وسبعين وسبعمائة بحلب,حلب
89,,,,qaraa, البركات الغزي ثم الحلبي فانه قرا عليه وهو صغير جدا بعض القران ثم اكمله على غيره وعرض الاولين في سنة تسع وثمانين,
96,,,,, على الشمس ابي عبد الله محمد بن نجم ابن محمد بن النجار الحلبي الحنفي وكتب له خطه بذلك وفي سنة ست وتسعين,
803,,,,ijaza, منهم الشمس محمد بن مبارك بن عثمان البسقاقي الحلبي الحنفي واجاز له ابوه من شيوخ القاهرة حين دخلها في سنة ثلاث وثمانمائة,
85,,,,birth, واستصحب معه ولده قبل ذلك سنة خمس وثمانين,
93,,,,, له في الافتاء وكتب له خطه بذلك وهو ممن اخذ العربية عن السري المالكي وحضر دروس السراج البلقيني في سنة ثلاث وتسعين,
96,,,,, ثم في سنة ست وتسعين,
96,,,,ijaza, بل سمع من لفظه حديث الاعمال بالنيات والكلام على فوائده واحكامه وانشده شيئا من شعره واجاز له وذلك في سنة ست وتسعين,
808,3.0,ربيع الاول,,qaraa, النبوية والدر المنظوم من كلام المصطفى المعصوم كلاهما لمغلطاي بقراءته لهما على مؤلفهما وارتحل الى القاهرة فقرا بدمشق في ربيع الاول سنة ثمان وثمانمائة,
9,3.0,ربيع الاول,,, وكتب عنه في اخره منه الاديب الشمس ابو الفضل محمد بن علي بن ابي بكر المصري كتب عنه في ربيع الاول سنة تسع,
804,7.0,رجب,,, وبطرابلس عن الشرف مسعود بن شعبان الطائي الحلبي الشافعي كتب عنه شيئا من شعر غيره وكذا كتب فيها في رجب سنة اربع وثمانمائة,
43,4.0,ربيع الاخر,,samia, م لقيه بطرابلس وسمع منه من نظمه شفاها وتكرر قدومه بعد ذلك القاهرة واخر قدماته في ربيع الاخر سنة ثلاث واربعين,
24,10.0,شوال,,, وقبل ذلك دخلها في شوال سنة اربع وعشرين بعد,عد
16,,,,, ان زار بيت المقدس وحينئذ ولي قضاء طرابلس كما سياتي وقبل ذلك في سنة ست عشرة,
16,,,,, وحج ثلاث مرات اولها في سنة ست عشرة,
26,,,,samia, واجتمع بالجمال بن ظهيرة وسمع خطبته لكنه لم يسمع عليه ولا على غيره هناك شيئا للاشتغال بالمناسك وثانيهما في سنة ست وعشرين,
16,,,,, على الانوار الاردبيلي كتابة متقنة جامعة يحاكي فيها شرح المهذب الفوي واشياء غيرها وولي قضاء بلده غير مرة اولها سنة ست عشرة,
24,,,,, وسافر من القاهرة الى جهة طرابلس فوصلها في يوم عرفة سنة اربع وعشرين,
43,11.0,ذي القعدة,,death, يقول ما قدم علينا من الغرباء مثله ولم يزل يدرس ويفتي ويصنف حتى مات ببلده في يوم الخميس منتصف ذي القعدة سنة ثلاث واربعين بعد,عد
808,,,,samia, سمعت من فوائده وعلق عني كثيرا من كتابي تعليق التعليق في سنة ثمان وثمانمائة,
