year,month,month_str,day,category,match,place
857,1.0,محرم,10.0,birth, ولد وقت صلاة الجمعة عاشر المحرم سنة سبع وخمسين وثمانمائة بلقانة,لقانة
94,,,,, وحج في سنة اربع وتسعين,
26,,,,birth, ولد في سنة ست وعشرين,
95,,,,samia, ونشا وكتب عند بعض المباشرين وسمع على بعض السيرة في سنة خمس وتسعين,
719,7.0,رجب,4.0,birth, ولد في رابع رجب سنة تسع عشرة وسبعمائة,
6,7.0,رجب,,death, مات في رجب سنة ست,
787,10.0,شوال,13.0,birth, ولد في ليلة الجمعة ثالث عشري شوال سنة سبع وثمانين وسبعمائة بمنية,منية
37,9.0,رمضان,20.0,death, مات في العشرين من رمضان سنة سبع وثلاثين,
42,,,,, حج وجاور في سنة اثنتين واربعين,
60,,,,death, ومات بعد سنة ستين,
782,11.0,ذي القعدة,,birth, ولد في ذي القعدة سنة اثنتين وثمانين وسبعمائة بمنية,منية
95,,,,, وارتحل الى القاهرة في سنة خمس وتسعين,
58,1.0,محرم,3.0,death, مات بدمياط بعد ان حصل له نوع خبل في ثالث المحرم سنة ثمان وخمسين,
59,5.0,جمادى الاولى,15.0,death, التي انشاها له وكذا كتبت عنه غيرها من نظمه ونثره وسمعت من فوائده ونكته جملة مات في يوم الثلاثاء خامس عشري جمادى الاولى سنة تسع وخمسين بعد,عد
21,,,,death, مات في سنة احدى وعشرين,
747,,,,birth, ولد في احدى الجماديين سنة سبع واربعين وسبعمائة,
6,,,,, وعند المقريزي سنة ست,
11,,,,, ثم استقل بقضاء مذهبه في بلده سنة احدى عشرة,
15,,,,, عوضا عن ابي الوليد المشار اليه بعناية دمرداش نائبها ثم صرف بابي الوليد في سنة خمس عشرة,
23,,,,, زاد غيره وكان المؤيد يحبه ويكرمه ويعظمه واقطعه اقطاعا فلما كانت سنة ثلاث وعشرين,
24,3.0,ربيع الاول,10.0,death, مات بحلب في يوم السبت عاشر ربيع الاول سنة اربع وعشرين بعد,عد
92,10.0,شوال,,, وانجمع الى ان غرق بصهريج الحاكم في شوال سنة اثنتين وتسعين,
19,9.0,رمضان,,birth, ولد في اواخر رمضان سنة تسع عشرة,
44,,,,ijaza, واجاز له ابو عبد الله الحكمي المغربي بل قال انه اجاز له الشهاب الواسطي ثم ارتحل الى القاهرة في سنة اربع واربعين,
53,,,,, وحج في سنة ثلاث وخمسين,
88,2.0,صفر,11.0,death, حاله الى ان مات بعد توعكه مديدة وتكرر اجتماعه بي بعد قدومي من الحج غير مرة في يوم الاحد حادي عشري صفر سنة ثمان وثمانين,
89,,,,death, مات قريبا من سنة تسع وثمانين,
