year,month,month_str,day,category,match,place
869,11.0,ذي القعدة,11.0,birth, ولد في عصر يوم الجمعة حادي عشر ذي القعدة سنة تسع وستين وثمانمائة,
98,,,,, وقد حج ومعه عياله في سنة ثمان وتسعين بحرا,حرا
8,5.0,جمادى الاولى,,death, في اسماء رجال مسند الشافعي واخر في فضل الذكر ومصباح الفلاح في التصوف ونحوه قوله في انبائه مات في جمادى الاولى سنة ثمان,
814,,,,birth, ولد قريبا من سنة اربع عشرة وثمانمائة بالنويرة,النويرة
56,,,,, الحديث وكذا تنزل في غيرها من الجهات وحج غير مرة بعضها من القصير وكذا جاور مرارا ثم استوطنها من سنة ست وخمسين,
74,8.0,شعبان,18.0,death, ومات بها في يوم الجمعة ثامن عشري شعبان سنة اربع وسبعين,
786,,,,birth, ولد سنة ست وثمانين وسبعمائة,
19,,,,, وتكسب بالشهادة اولا ثم تركها وحج في سنة تسع عشرة,
66,6.0,جمادى الثانية,,death, ومات في يوم الاربعاء مستهل جمادى الثانية سنة ست وستين,
794,,,,birth, ولد سنة اربع وتسعين وسبعمائة,
797,7.0,رجب,,birth, ولد في رجب سنة سبع وتسعين وسبعمائة بمكة,مكة
70,,,,death, ومات بعد عجزه عن الامامة بحيث كان ينوب عنه ولده الفخر ابو بكر حتى مات في سنة سبعين,
74,12.0,ذي الحجة,18.0,ijaza, فناب عنه غيره وبعد ان اجاز لي في ليلة الثلاثاء ثامن عشر ذي الحجة سنة اربع وسبعين بمكة,مكة
89,8.0,شعبان,,death, مات ببلده في شعبان سنة تسع وثمانين,
49,9.0,رمضان,8.0,death, مات في ثامن رمضان سنة تسع واربعين بعد,عد
812,7.0,رجب,12.0,birth, ولد في ثاني عشر رجب سنة اثنتي عشرة وثمانمائة بدمياط,دمياط
68,3.0,ربيع الاول,,samia, من شيخنا المسلسل وغيره وكذا سمع على غيره وكتب الخط الحسن وولي القضاء بدمياط عودا على بدء اولهما في ربيع الاول سنة ثمان وستين,
51,,,,, وقد كثر اجتماعه بي واستفدت منه بعض تراجم وربما نسخ بعض تصانيفي وحج في سنة احدى وخمسين,
43,,,,, وزار في سنة ثلاث واربعين بيت,يت
826,7.0,رجب,,birth, ولد في رجب سنة ست وعشرين وثمانمائة,
824,,,,birth, ولد سنة اربع وعشرين وثمانمائة,
26,,,,, واحضر في سنة ست وعشرين,
92,11.0,ذي القعدة,9.0,death, مات في يوم الجمعة تاسع ذي القعدة سنة اثنتين وتسعين بالبيمارستان,البيمارستان
