year,month,month_str,day,category,match,place
845,6.0,جمادى الثانية,11.0,birth, ولد في يوم الاربعاء حادي عشر جمادى الثانية سنة خمس واربعين وثمانمائة بالقاهرة,القاهرة
90,3.0,ربيع الاول,,, عدم انفكاكه عمالا يرتضي الى استكمال الوظائف المشار اليها مع قضاء العسكر وغيره بعد موت شريكه ابي السعادات في ربيع الاول سنة تسعين بكليفة,كليفة
92,7.0,رجب,8.0,death, بل مات عن قرب في غروب يوم الجمعة ثامن رجب سنة اثنتين وتسعين,
34,,,,, وكتب عنه شيخنا الزين رضوان ببعض الاستدعاءات سنة اربع وثلاثين,
73,3.0,ربيع الاول,2.0,death, مات في العشر الثاني من ربيع الاول سنة ثلاث وسبعين,
76,3.0,ربيع الاول,,death, مات في ربيع الاول سنة ست وسبعين بعد,عد
766,8.0,شعبان,,qaraa, ولدكما قراته بخطه في ليلة الاثنين منتصف شعبان سنة ست وستين وسبعمائة بحلب,حلب
51,,,,ijaza, اجاز لي في سنة احدى وخمسين,
1,,,,death, مات بعد سنة احدى,
808,8.0,شعبان,,birth, ولد في شعبان سنة ثمان وثمانمائة,
92,4.0,ربيع الثاني,12.0,death, مات في ليلة ثاني عشري ربيع الثاني سنة اثنتين وتسعين,
54,10.0,شوال,16.0,death, مات وقد قارب السبعين في يوم الاحد سادس عشر شوال سنة اربع وخمسين بمصر,مصر
803,,,,birth, ولد سنة ثلاث وثمانمائة,
27,,,,, وحج في سنة سبع وعشرين,
77,11.0,ذي القعدة,11.0,death, مات في حادي عشري ذي القعدة سنة سبع وسبعين,
85,5.0,جمادى الاولى,13.0,death, مات بمكة في يوم الثلاثاء ثالث عشري جمادى الاولى سنة خمس وثمانين,
53,5.0,جمادى الاولى,8.0,death, محمد بن صدقة الخواجا شمس الدين الدمشقي مات في يوم الاحد ثامن جمادى الاولى سنة ثلاث وخمسين,
32,,,,qaraa, بن ادم الحبيبي الماضي قرا عليه بعض الروايات النور علي بن محمد بن احمد بن ابي بر الغنومي في سنة اثنتين وثلاثين,
765,3.0,ربيع الاول,,birth, ولد في مستهل ربيع الاول سنة خمس وستين وسبعمائة بالقاهرة,القاهرة
55,4.0,ربيع الاخر,11.0,death, ومات في يوم الاحد حادي عشري ربيع الاخر سنة خمس وخمسين,
808,2.0,صفر,,birth, ولد في اوائل صفر سنة ثمان وثمانمائة بحماة,حماة
28,,,,, ثم ارتحل الى دمشق سنة ثمان وعشرين,
52,,,,, خطه وحظي عنده وتردد معه الى القاهرة ودمشق في ولاياته بهما وصار احد اخصائه وولي نظر القدس والخليل في سنة اثنتين وخمسين,
3,9.0,رمضان,12.0,death, ولم يلبث ان مات به بذات الجنب في يوم الخميس ثاني عشر رمضان سنة ثلاث,
