year,month,month_str,day,category,match,place
784.0,,,,birth, واستقر صيرفيا بقطيا وولي نظرها ثم امرتها ثم تنقلت به الاحوال بحيث ولي الوزارة والاستادارية وولد ابنه هذا في سنة اربع وثمانين وسبعمائة,
1.0,5,جمادى الاولى,,, فتعلم الكتابة والحساب وولي قطيا في راس القرن اول يوم من جمادى الاولى سنة احدى,
11.0,,,,, وزيرا ثم صرف بصرفه واعيد اليها بعد ذلك في الايام الناصرية فرج مرارا ثم ولاه جمال الاستادار كشف الشرقية سنة احدى عشرة,
,4,ربيع الاخر,,istaqara, الدماء واخذ الاموال فلما قبض على مخدومه واستقر ابن الهيصم في الاستادارية عوضه بذل الفخر اربعين الف دينار واستقر في ربيع الاخر سنة,
16.0,5,جمادى الاولى,,istaqara, اعداؤه ثم اطلق واعيد الى ولاية قطيا ثم لما ولي المؤيد استقر به في كشف الوجه البحري ثم في جمادى الاولى سنة ست عشرة,
19.0,,,,, يوسف قليلا فلم تطب له البلاد فعاد وترامى على خواص المؤيد فامنه واعاده الى كشف الوجه البحري ثم في سنة تسع عشرة,
21.0,2,صفر,,death, ثم لما مات تقي الدين ابن ابي شاكر اضيفت اليه الوزارة في صفر سنة احدى وعشرين,
20.0,10,شوال,,, ثم استعفى عن الوزارة في شوال سنة عشرين,
21.0,10,شوال,,death, توجه للوجه القبلي فاوقع بالعرب وجمع مالا كثيرا جدا ثم اصابه الوعك في رمضان واستمر حتى مات في نصف شوال سنة احدى وعشرين,
,,,30.0,, عن سبع وثلاثين سنة,
,End of,اخر,30.0,, اخر عمره وجاد سوى ما اعتاده من نهب الاموال بحيث جمع منها في ثلاث سنين مالا يجمعه غيره في ثلاثين سنة,
20.0,2,صفر,,birth, من ولد التقي عبد الوهاب المنحصر ارث ابيه فيه وفي اخته شقيقته الخماسية وهي محجورته وباع عنها وذلك في صفر سنة عشرين,
15.0,,,,, فمن ابن السعدي بن غراب لربعها ومن الامين عبد الله بن ابي الفرج بن موسى الشهير بجده لباقيها في سنة خمس عشرة,
98.0,2,صفر,,, حسبما وقفت على الشواهد بذلك كله مع البدري محمد بن الشهابي احمد بن الفخر في صفر سنة ثمان وتسعين,
