token,tokenized,lemma,label,pos
يوسف,يوسف,يُوسِف,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
البدر,البدر,بَدْر,I-PERS,noun
محمد,محمد,مُحَمَّد,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
محمد,محمد,مُحَمَّد,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
محمد,محمد,مُحَمَّد,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
يحيى,يحيى,يَحْيَى,I-PERS,noun_prop
السكندري,الNOAN,سكندري,O,noun_prop
الاصل,الأصل,أَصْل,O,noun
القاهري,القاهري,قاهِرِيّ,O,adj
المالكي,المالكي,مالِكِيّ,O,noun
الماضي,الماضي,ماضِي,O,adj
ابوه,أبوه,أَب,O,noun
وجده,وجده,وَجَد,O,verb
سبط,سبط,سَبِط,B-PERS,adj
ابي,أبي,أَبِي,B-PERS,noun_prop
الفضل,الفضل,فَضْل,I-PERS,noun
بن,بن,بِن,I-PERS,noun_prop
الردادي,الردادي,الردادي,I-PERS,noun_prop
ويعرف,و+_يعرف,عَرَف,O,verb
كسلفه,ك+_سلفه,سَلَف,O,noun
بابن,ب+_ابن,ٱِبْن,B-PERS,noun
المخلطة,المخلطة,مُخَلَّط,I-PERS,adj
.,.,.,O,punc
ولد,ولد,وَلَد,O,verb
في,في,فِي,O,prep
ثالث,ثالث,ثالِث,O,adj
جمادى,جمادى,جُمادَى,O,noun_prop
الاولى,الأولى,أُولَى,O,adj
سنة,سنة,سَنَة,O,noun
ثلاث,ثلاث,ثَلاث,O,adj
وستين,و+_ستين,سِتّ,O,noun
وثمانمائة,و+_ثمانمائة,ثَمانِمائَة,O,noun
بالقاهرة,ب+_القاهرة,قاهِرَة,B-LOC,noun_prop
واحضر,و+_أحضر,حَضَر,O,verb
وهو,و+_هو,هُوَ,O,pron
في,في,فِي,O,prep
الاولى,الأولى,أُولَى,O,adj
بالكاملية,بالكاملية,بالكامليه,O,noun_prop
بقراءتي,ب+_قراءتي,قِراءَة,O,noun
على,على,عَلَى,O,prep
السيد,السيد,سَيِّد,O,noun_prop
النسابة,النسابة,نَسّاب,I-PERS,noun
وغيره,و+_غيره,غَيْر,O,noun
.,.,.,O,punc
ومات,و+_مآت,مَأْتَى,O,noun
ابوه,أبوه,أَب,O,noun
وهو,و+_هو,هُوَ,O,pron
صغير,صغير,صَغِير,O,noun
فكفله,ف+_ك+_فله,فَلّ,O,noun
خاله,خاله,خال,O,verb
جلال,جلال,جَلال,B-PERS,noun_prop
الدين,الدين,دِين,I-PERS,noun
بن,بن,بِن,I-PERS,noun_prop
الردادي,الردادي,الردادي,I-PERS,noun_prop
،,،,،,O,punc
واستقر,و+_استقر,ٱِسْتَقَرّ,O,verb
في,في,فِي,O,prep
جهات,جهات,جِهَة,O,noun
ابيه,أبيه,أَب,O,noun
بعده,بعده,بُعْد,O,noun
كتدريس,ك+_تدريس,تَدْرِيس,O,noun
المؤيدية,المؤيدية,المؤيديه,O,noun_prop
وام,و+_أم,أُمّ,O,noun_prop
السلطان,السلطان,سُلْطان,O,noun
والقمحية,و+_القمحية,قَمْحِيّ,B-PERS,adj
وناب,و+_نأب,أَبَى,O,verb
عنه,عنه,عَن,O,prep
اللقاني,اللقاني,اللقاني,B-PERS,noun_prop
متبرعا,متبرعا,مُتَبَرِّع,O,noun
فلما,ف+_لما,لَمّا,O,conj
ترعرع,ترعرع,تَرَعْرَع,O,verb
قرا,قرآ,قَرَأ,O,verb
القران,القرآن,قُرْآن,B-MISC,noun_prop
وحفظ,و+_حفظ,حِفْظ,O,noun
المختصر,المختصر,مُخْتَصَر,O,noun
والارشاد,و+_الإرشاد,إِرْشاد,O,noun
لابن,ل+_ابن,ٱِبْن,B-PERS,noun
عسكر,عسكر,عَسْكَر,I-PERS,noun_prop
ولازم,و+_ل+_إزم,أَزْمَة,O,noun
دروس,دروس,دَرْس,O,noun
السنهوري,السنهوري,السنهوري,B-PERS,noun_prop
قراءة,قراءة,قِراءَة,O,noun
وسماعا,و+_سماعا,سَماع,O,noun
في,في,فِي,O,prep
الفقه,الفقه,فِقْه,O,noun
والعربية,و+_العربية,عَرَبِيّ,O,adj
وكذا,و+_كذا,كَذا,O,conj
قرا,قرآ,قَرَأ,O,verb
على,على,عَلَى,O,prep
اللقاني,اللقاني,اللقاني,B-PERS,noun_prop
في,في,فِي,O,prep
الفقه,الفقه,فِقْه,O,noun
والابناسي,والابناسي,والابناسي,O,noun_prop
في,في,فِي,O,prep
العربية,العربية,عَرَبِيّ,O,adj
والمنطق,و+_المنطق,مَنْطِق,O,noun
وغيرهما,و+_غيرهما,غَيْر,O,noun
كزوج,ك+_زوج,زَوْج,O,noun
امه,أمه,أُمّ,O,noun
ابن,ابن,ٱِبْن,B-PERS,noun_prop
قاسم,قاسم,قاسِم,I-PERS,noun_prop
الشافعي,الشافعي,شافِعِيّ,I-PERS,adj
وداود,و+_داود,داوُد,B-PERS,noun_prop
وحضر,و+_حضر,حَضَر,O,verb
عندي,عندي,عِنْد,O,noun
سماع,سماع,سَماع,O,noun
اشياء,أشياء,شَيْء,O,noun
بل,بل,بَل,O,conj
قرا,قرآ,قَرَأ,O,verb
علي,على,عَلَى,O,prep
بعضا,بعضا,بَعْض,O,adj
ونسخ,و+_نسخ,نُسْخَة,O,noun
بخطه,ب+_خطة,خُطَّة,O,noun
شرح,شرح,شَرْح,O,noun
الرسالة,الرسالة,رِسالَة,O,noun
للاقفهسي,للاقفهسي,للاقفهسي,B-PERS,noun_prop
وجلس,و+_جلس,جَلَس,O,verb
مع,مع,مَع,O,prep
الشهود,الشهود,شاهِد,O,noun
ولم,و+_لم,لَم,O,part_neg
يحصل,يحصل,حَصَل,O,verb
على,على,عَلَى,O,prep
طائل,طائل,طائِل,O,adj
وتزوج,و+_تزوج,تَزَوَّج,O,verb
ورزق,و+_رزق,رِزْق,O,noun_prop
الاولاد,الأولاد,وَلَد,O,noun
،,،,،,O,punc
وحج,و+_حج,حَجّ,O,noun
وربما,و+_ربما,رُبَّما,O,adv
درس,درس,دَرْس,O,noun
في,في,فِي,O,prep
بعض,ب+_عض,عَضّ,O,noun
وظائفه,وظائفه,وَظِيفَة,O,noun
كام,ك+_أم,أُمّ,O,noun_prop
السلطان,السلطان,سُلْطان,O,noun
بل,بل,بَل,O,conj
وبالمؤيدية,وبالمؤيدية,وبالمؤيديه,O,noun_prop
ولو,و+_لو,لَو,O,conj
اقبل,أقبل,أَقْبَل,O,verb
بكليته,ب+_كليته,كُلِّيَّة,O,noun
على,على,عَلَى,O,prep
الاشتغال,الاشتغال,ٱِشْتِغال,O,noun
لرجي,ل+_رجي,رَجّ,O,noun
له,له,لِ,O,prep
الخير,الخير,خَيْر,O,noun
.,.,.,O,punc
