token,tokenized,lemma,label,pos
عبد,عبد,عَبْد,B-PERS,noun_prop
القادر,القادر,قادِر,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
احمد,أحمد,أَحْمَد,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
يعقوب,يعقوب,يَعْقُوب,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
احمد,أحمد,أَحْمَد,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
عبد,عبد,عَبْد,I-PERS,noun_prop
المنعم,المنعم,مُنْعِم,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
احمد,أحمد,أَحْمَد,I-PERS,noun_prop
الزين,الزين,زَيْن,I-PERS,noun
ابن,ابن,ٱِبْن,I-PERS,noun_prop
الشهاب,الشهاب,شِهاب,I-PERS,noun_prop
الاطفيحي,الاطفيحي,الاطفيحي,O,noun_prop
الاصل,الأصل,أَصْل,O,noun
القاهري,القاهري,قاهِرِيّ,O,adj
سبط,سبط,سَبِط,O,adj
الزين,الزين,زَيْن,I-PERS,noun
العراقي,العراقي,عِراقِيّ,O,adj
وشقيق,و+_شقيق,شَقِيق,O,noun
المحب,المحب,مُحِبّ,O,noun
محمد,محمد,مُحَمَّد,B-PERS,noun_prop
وعبد,و+_عبد,عَبْد,B-PERS,noun_prop
الرحيم,الرحيم,رَحِيم,I-PERS,noun_prop
ويعرف,و+_يعرف,عَرَف,O,verb
كابيه,ك+_أبيه,أَب,O,noun
بابن,ب+_ابن,ٱِبْن,B-PERS,noun
يعقوب,يعقوب,يَعْقُوب,I-PERS,noun_prop
.,.,.,O,punc
ممن,ممن,مِن,O,prep
نشا,نشأ,شَأَو,O,verb
في,في,فِي,O,prep
كنف,كنف,كَنَف,O,noun
ابويه,أبويه,أَبَوان,O,noun
،,،,،,O,punc
وحج,و+_حج,حَجّ,O,noun
وسمع,و+_سمع,سَمِع,O,verb
الحديث,الحديث,حَدِيث,O,noun
عن,عن,عَن,O,prep
شيخنا,شيخنا,شَيْخ,O,noun
وغيره,و+_غيره,غَيْر,O,noun
واجاز,و+_أجاز,أَجاز,O,verb
له,له,لِ,O,prep
جماعة,جماعة,جَماعَة,O,noun
وتنزل,و+_تنزل,نَزَل,O,verb
في,في,فِي,O,prep
الجهات,الجهات,جِهَة,O,noun
وتاخر,و+_تأخر,تَأَخَّر,O,verb
عن,عن,عَن,O,prep
اخويه,أخويه,أَخ,O,noun
في,في,فِي,O,prep
الوجود,الوجود,وُجُود,O,noun
والمرتبة,و+_المرتبة,مَرْتَبَة,O,noun
لكونه,ل+_كونه,كَوْن,O,noun
طورا,طورا,طَوَّر,O,verb
وحده,وحده,وَحْد,O,adv
وربما,و+_ربما,رُبَّما,O,adv
ينسب,ينسب,نَسَب,O,verb
لتعاطيه,ل+_تعاطيه,تَعاطِي,O,noun
ما,ما,ما,O,pron_rel
اقتضى,اقتضى,ٱِقْتَضَى,O,verb
ذلك,ذلك,ذٰلِكَ,O,pron_dem
.,.,.,O,punc
