token,tokenized,lemma,label,pos
محمد,محمد,مُحَمَّد,B-PERS,noun_prop
الصلاح,الصلاح,صَلاح,I-PERS,noun_prop
الكلائي,الكلائي,الكلائي,I-PERS,noun_prop
احد,أحد,أَحَد,O,noun
المذكرين,المذكرين,مُذَكَّر,O,noun
على,على,عَلَى,O,prep
طريق,طريق,طَرِيق,O,noun
الشاذلية,الشاذلية,الشاذليه,B-LOC,noun_prop
.,.,.,O,punc
كان,كان,كان,O,verb
شاهدا,شاهدا,شاهِد,O,noun
بحانوت,ب+_حانوت,حانُوت,B-LOC,noun
خارج,خارج,خارِج,O,noun
باب,باب,باب,O,noun
زويلة,زويلة,زويله,B-LOC,noun_prop
ثم,ثم,ثُمَّ,O,adv
صحب,صحب,صَحِب,O,verb
حسينا,حسينا,حِسِّيّ,B-PERS,adj
الحبار,الحبار,حَبار,I-PERS,noun
وخلفه,و+_خلفه,خَلْف,O,noun
في,في,فِي,O,prep
مكانه,مكانه,مَكان,O,noun
فصار,ف+_صار,صار,O,verb
يذكر,يذكر,ذَكَر,O,verb
الناس,الناس,ناس,O,noun
وبدت,و+_بدت,بَدا,O,verb
منه,منه,مِن,O,prep
الفاظ,ألفاظ,لَفْظ,O,noun
منكرة,منكرة,مُنْكَر,O,adj
فيها,فيها,فِي,O,prep
جراة,جرأة,جُرْأَة,O,noun
عظيمة,عظيمة,عَظِيم,O,adj
على,على,عَلَى,O,prep
كتاب,كتاب,كِتاب,O,noun
الله,الله,اللَّه,B-MISC,noun_prop
وضبطت,و+_ضبطت,ضَبَط,O,verb
عليه,عليه,عَلَى,O,prep
اشياء,أشياء,شَيْء,O,noun
مستقبحة,مستقبحة,مُسْتَقْبَح,O,adj
وامتحن,و+_أمتحن,ٱِمْتَحَن,O,verb
مرة,مرة,مَرَّة,O,noun
فذكر,ف+_ذكر,ذَكَر,O,verb
لي,لي,لِ,O,prep
الحافظ,الحافظ,حافِظ,O,noun_prop
الصلاح,الصلاح,صَلاح,B-PERS,noun_prop
الاقفهسي,الاقفهسي,الاقفهسي,I-PERS,noun_prop
انه,أنه,أَنَّ,O,conj_sub
سمعه,سمعه,سَمِع,O,verb
يقول,يقول,قال,O,verb
في,في,فِي,O,prep
تفسير,تفسير,تَفْسِير,O,noun
