token,tokenized,lemma,label,pos
عبد,عبد,عَبْد,B-PERS,noun_prop
الله,الله,اللَّه,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
محمد,محمد,مُحَمَّد,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
عبد,عبد,عَبْد,I-PERS,noun_prop
الله,الله,اللَّه,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
محمد,محمد,مُحَمَّد,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
عبد,عبد,عَبْد,I-PERS,noun_prop
الله,الله,اللَّه,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
هادي,هادي,هادِي,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
محمد,محمد,مُحَمَّد,I-PERS,noun_prop
الجلال,الجلال,جَلال,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
القطب,القطب,قُطْب,I-PERS,noun
ابن,ابن,ٱِبْن,I-PERS,noun_prop
الجلال,الجلال,جَلال,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
القطب,القطب,قُطْب,I-PERS,noun
الحسيني,الحسيني,حُسَيْنِيّ,I-PERS,noun_prop
الايجي,الايجي,الايجي,O,noun_prop
النيريزي,النيريزي,النيريزي,I-PERS,noun_prop
الشافعي,الشافعي,شافِعِيّ,O,adj
ابن,ابن,ٱِبْن,O,noun_prop
اخي,أخي,أَخ,O,noun
السيد,السيد,سَيِّد,O,noun_prop
نور,نور,نُور,B-PERS,noun_prop
الدين,الدين,دِين,I-PERS,noun
محمد,محمد,مُحَمَّد,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
الجلال,الجلال,جَلال,I-PERS,noun_prop
عبد,عبد,عَبْد,I-PERS,noun_prop
الله,الله,اللَّه,I-PERS,noun_prop
قال,قال,قال,O,verb
الطاووسي,الطاووسي,الطاووسي,B-PERS,noun_prop
كان,كان,كان,O,verb
يتزيا,يتزيا,يتزيا,O,noun_prop
بزي,ب+_زي,زِيّ,O,noun
الاحمدية,الأحمدية,أَحْمَدِيّ,O,adj
وله,و+_له,لِ,O,prep
معارف,معارف,مَعْرِفَة,O,noun
لطيفة,لطيفة,لَطِيف,O,adj
،,،,،,O,punc
اجاز,أجاز,أَجاز,O,verb
لي,لي,لِ,O,prep
في,في,فِي,O,prep
شعبان,شعبان,شَعْبان,O,noun_prop
سنة,سنة,سَنَة,O,noun
سبع,سبع,سَبْع,O,noun
وعشرين,و+_عشرين,عِشْرُون,O,noun
.,.,.,O,punc
قلت,قلت,قال,O,verb
وهو,و+_هو,هُوَ,O,pron
جد,جد,جِدّ,O,noun
السيد,السيد,سَيِّد,O,noun_prop
علاء,علاء,عَلاء,B-PERS,noun_prop
الدين,الدين,دِين,I-PERS,noun
بن,بن,بِن,I-PERS,noun_prop
عفيف,عفيف,عَفِيف,I-PERS,noun_prop
الدين,الدين,دِين,I-PERS,noun
والد,والد,والِد,O,noun
امه,أمه,أُمّ,O,noun
مريم,مريم,مَرْيَم,B-PERS,noun_prop
اخذ,أخذ,أَخَذ,O,verb
عنه,عنه,عَن,O,prep
سبطه,سبطة,سَبِط,O,adj
المذكور,المذكور,مَذْكُور,O,adj
واخذ,و+_أخذ,أَخَذ,O,verb
هو,هو,هُوَ,O,pron
عن,عن,عَن,O,prep
والده,والده,والِد,O,noun
وغيره,و+_غيره,غَيْر,O,noun
واجاز,و+_أجاز,أَجاز,O,verb
له,له,لِ,O,prep
جماعة,جماعة,جَماعَة,O,noun
في,في,فِي,O,prep
استدعاء,استدعاء,ٱِسْتِدْعاء,O,noun
عين,عين,عَيْن,O,noun_prop
فيه,فيه,فِي,O,prep
هو,هو,هُوَ,O,pron
واخواه,و+_أخواه,أَخ,O,noun
احمد,أحمد,أَحْمَد,B-PERS,noun_prop
ومحمد,و+_محمد,مُحَمَّد,B-PERS,noun_prop
مؤرخ,مؤرخ,مُؤَرَّخ,I-PERS,noun
بذي,بذي,بَذّ,O,noun
الحجة,الحجة,حُجَّة,O,noun
سنة,سنة,سَنَة,O,noun
ثمان,ثمان,ثَمانِي,O,noun
وسبعين,و+_سبعين,سَبْع,O,noun
وسبعمائة,و+_سبعمائة,سَبْعمائَة,O,noun
عينتهم,عينتهم,عَيَّن,O,verb
في,في,فِي,O,prep
انس,أنس,أَنَس,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
محمود,محمود,مَحْمُود,I-PERS,noun_prop
.,.,.,O,punc
