token,tokenized,lemma,label,pos
عبد,عبد,عَبْد,B-PERS,noun_prop
الرحمن,الرحمن,رَحْمٰن,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
يوسف,يوسف,يُوسِف,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
الحسين,الحسين,حُسَيْن,I-PERS,noun_prop
الزين,الزين,زَيْن,I-PERS,noun
الكردي,الكردي,كُرْدِيّ,I-PERS,adj
الدمشقي,الدمشقي,دِمَشْقِيّ,I-PERS,adj
الشافعي,الشافعي,شافِعِيّ,O,adj
الواعظ,الواعظ,واعِظ,O,noun
الاتي,الآتي,آتِي,O,noun
ابوه,أبوه,أَب,O,noun
.,.,.,O,punc
حفظ,حفظ,حِفْظ,O,noun
التنبيه,التنبيه,تَنْبِيه,O,noun
في,في,فِي,O,prep
صباه,صباه,صَبّ,O,verb
وقرا,و+_قرآ,قَرَأ,O,verb
على,على,عَلَى,O,prep
الشرف,الشرف,شَرَف,B-PERS,noun
بن,بن,بِن,I-PERS,noun_prop
الشريشي,الشريشي,الشريشي,I-PERS,noun_prop
ثم,ثم,ثُمَّ,O,adv
تعانى,تعاني,عانَى,O,verb
المواعيد,المواعيد,مِيعاد,O,noun
فنفق,ف+_نفق,نَفَق,O,noun
سوقه,سوقه,سُوق,O,noun
فيها,فيها,فِي,O,prep
وراج,و+_راج,راج,O,verb
عند,عند,عِنْد,O,noun
العامة,العامة,عامّ,O,adj
ودام,و+_دام,دام,O,verb
على,على,عَلَى,O,prep
ذلك,ذلك,ذٰلِكَ,O,pron_dem
اكثر,أكثر,أَكْثَر,O,adj
من,من,مِن,O,prep
اربعين,أربعين,أَرْبَع,O,noun
سنة,سنة,سَنَة,O,noun
وصار,و+_صار,صار,O,verb
على,على,عَلَى,O,prep
ذهنه,ذهنه,ذِهْن,O,noun
من,من,مِن,O,prep
التفسير,التفسير,تَفْسِير,O,noun
والحديث,و+_الحديث,حَدِيث,O,noun
واسماء,و+_أسماء,ٱِسْم,O,noun
الرجال,الرجال,رَجُل,O,noun
شيء,شيء,شَيْء,O,noun
كثير,كثير,كَثِير,O,noun
مع,مع,مَع,O,prep
الديانة,الديانة,دِيانَة,O,noun
وكثرة,و+_كثرة,كَثْرَة,O,noun
التلاوة,التلاوة,تِلاوَة,O,noun
الا,إلا,إِلّا,O,part
انه,أنه,أَنَّ,O,conj_sub
كان,كان,كان,O,verb
يعاب,يعاب,يعاب,O,noun_prop
بقلة,ب+_قلة,قِلَّة,O,noun
البضاعة,البضاعة,بِضاعَة,O,noun
في,في,فِي,O,prep
الفقه,الفقه,فِقْه,O,noun
وكونه,و+_كونه,كَوْن,O,noun
مع,مع,مَع,O,prep
ذلك,ذلك,ذٰلِكَ,O,pron_dem
لا,لا,لا,O,part_neg
يسال,يسأل,سَأَل,O,verb
عن,عن,عَن,O,prep
شيء,شيء,شَيْء,O,noun
الا,إلا,إِلّا,O,part
بادر,بادر,بادَر,O,verb
بالجواب,ب+_الجواب,جَواب,O,noun
ولم,و+_لم,لَم,O,part_neg
يزل,يزل,زال,O,verb
بينه,بينه,بَيِّن,O,noun
وبين,و+_بين,بَيِّن,O,noun
الفقهاء,الفقهاء,فَقِيه,O,noun
منافرة,منافرة,منافره,O,noun_prop
،,،,،,O,punc
ويقال,و+_يقال,قال,O,verb
انه,أنه,أَنَّ,O,conj_sub
يرى,يري,وَرَى,O,verb
بحل,ب+_حل,حَلّ,O,noun
المتعة,المتعة,مُتْعَة,O,noun
على,على,عَلَى,O,prep
طريقة,طريقة,طَرِيقَة,O,noun
ابن,ابن,ٱِبْن,B-PERS,noun_prop
القيم,القيم,قِيمَة,I-PERS,noun
وذويه,و+_ذويه,ذُو,O,noun
،,،,،,O,punc
وحفظ,و+_حفظ,حِفْظ,O,noun
ترجيح,ترجيح,تَرْجِيح,O,noun
كون,كون,كَوْن,O,noun
المولد,المولد,مُوَلِّد,O,noun
النبوي,النبوي,نَبَوِيّ,O,adj
كان,كان,كان,O,verb
في,في,فِي,O,prep
رمضان,رمضان,رَمَضان,O,noun_prop
لقول,ل+_قول,قَوْل,O,noun
ابن,ابن,ٱِبْن,B-PERS,noun_prop
اسحاق,إسحاق,إِسْحاق,I-PERS,noun_prop
انه,أنه,أَنَّ,O,conj_sub
نبىء,نبيء,أَباء,O,verb
على,على,عَلَى,O,prep
راس,رأس,رَأْس,O,noun
الاربعين,الأربعين,أَرْبَع,O,noun
فحالف,ف+_حالف,حالَف,O,verb
الجمهور,الجمهور,جُمْهُور,O,noun
في,في,فِي,O,prep
ترجيح,ترجيح,تَرْجِيح,O,noun
ذلك,ذلك,ذٰلِكَ,O,pron_dem
وله,و+_له,لِ,O,prep
اشياء,أشياء,شَيْء,O,noun
كثيرة,كثيرة,كَثِير,O,noun
من,من,مِن,O,prep
التنطعات,التنطعات,التنطعات,O,noun_prop
،,،,،,O,punc
وكان,و+_كان,كان,O,verb
قد,قد,قَدْ,O,part_verb
ولي,ولي,وَلِيّ,O,noun
قضاء,قضاء,قَضاء,O,noun
