token,tokenized,lemma,label,pos
عبد,عبد,عَبْد,B-PERS,noun_prop
الرحيم,الرحيم,رَحِيم,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
محمد,محمد,مُحَمَّد,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
عبد,عبد,عَبْد,I-PERS,noun_prop
الرحيم,الرحيم,رَحِيم,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
علي,على,عَلَى,I-PERS,prep
بن,بن,بِن,I-PERS,noun_prop
الحسن,الحسن,حَسَن,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
محمد,محمد,مُحَمَّد,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
عبد,عبد,عَبْد,I-PERS,noun_prop
العزيز,العزيز,عَزِيز,I-PERS,noun_prop
ابن,ابن,ٱِبْن,I-PERS,noun_prop
محمد,محمد,مُحَمَّد,I-PERS,noun_prop
العز,العز,عِزّ,I-PERS,noun
ابو,أبو,أَبُو,I-PERS,noun_prop
محمد,محمد,مُحَمَّد,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
المؤرخ,المؤرخ,مُؤَرَّخ,I-PERS,noun
ناصر,ناصر,ناصِر,B-PERS,noun_prop
الدين,الدين,دِين,I-PERS,noun
بن,بن,بِن,I-PERS,noun_prop
العز,العز,عِزّ,I-PERS,noun
ابي,أبي,أَبِي,I-PERS,noun_prop
الفضل,الفضل,فَضْل,I-PERS,noun
بن,بن,بِن,I-PERS,noun_prop
الفرات,الفرات,فُرات,I-PERS,noun_prop
المصري,المصري,مِصْرِيّ,I-PERS,adj
القاهري,القاهري,قاهِرِيّ,I-PERS,adj
الحنفي,الحنفي,حَنَفِيّ,I-PERS,noun_prop
الاتي,الآتي,آتِي,O,noun
ابوه,أبوه,أَب,O,noun
ويعرف,و+_يعرف,عَرَف,O,verb
كسلفه,ك+_سلفه,سَلَف,O,noun
بابن,ب+_ابن,ٱِبْن,B-PERS,noun
الفرات,الفرات,فُرات,I-PERS,noun_prop
باسم,ب+_اسم,ٱِسْم,O,noun
النهر,النهر,نَهْر,O,noun
من,من,مِن,O,prep
بيت,بيت,بَيْت,O,noun_prop
شهير,شهير,شَهِير,O,adj
.,.,.,O,punc
ولد,ولد,وَلَد,O,verb
سنة,سنة,سَنَة,O,noun
تسع,تسع,تِسْع,O,adj
وخمسين,و+_خمسين,خَمْس,O,noun
وسبعمائة,و+_سبعمائة,سَبْعمائَة,O,noun
بالقاهرة,ب+_القاهرة,قاهِرَة,B-LOC,noun_prop
ونشا,و+_نشأ,شَأَو,O,verb
بها,بها,بِ,O,prep
فحفظ,ف+_حفظ,حِفْظ,O,noun
القران,القرآن,قُرْآن,O,noun_prop
والعمدة,و+_العمدة,عُمْدَة,O,noun
والبداية,و+_البداية,بِدايَة,O,noun
في,في,فِي,O,prep
المذهب,المذهب,مَذْهَب,O,noun
وغيرها,و+_غيرها,غَيْر,O,noun
وعرض,و+_عرض,عَرَض,O,verb
في,في,فِي,O,prep
سنة,سنة,سَنَة,O,noun
احدى,إحدى,أَحَد,O,noun
وسبعين,و+_سبعين,سَبْع,O,noun
فما,ف+_ما,ما,O,part_neg
بعدها,بعدها,بُعْد,O,noun
على,على,عَلَى,O,prep
جماعة,جماعة,جَماعَة,O,noun
من,من,مِن,O,prep
ائمة,أئمة,إِمام,O,noun
ارباب,أرباب,رَبّ,O,noun
المذاهب,المذاهب,مَذْهَب,O,noun
فمن,ف+_من,مِن,O,prep
ائمة,أئمة,إِمام,O,noun
مذهبه,مذهبه,مَذْهَب,O,noun
السراج,السراج,سِراج,B-PERS,noun
الهندي,الهندي,هِنْدِيّ,I-PERS,adj
واكمل,و+_أكمل,أَكْمَل,B-PERS,verb
الدين,الدين,دِين,I-PERS,noun
والصدر,و+_الصدر,صَدْر,B-PERS,noun
محمد,محمد,مُحَمَّد,I-PERS,noun_prop
حفيد,حفيد,حَفِيد,O,noun
العلاء,العلاء,عَلاء,B-PERS,noun
بن,بن,بِن,I-PERS,noun_prop
التركماني,التركماني,التركماني,I-PERS,noun_prop
والشمس,و+_الشمس,شَمْس,B-PERS,noun
الطرابلسي,الطرابلسي,طَرابُلْسِيّ,I-PERS,noun_prop
وابو,و+_أبو,أَبُو,B-PERS,noun_prop
بكر,بكر,بَكْر,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
التاجر,التاجر,تاجِر,I-PERS,noun
والشمس,و+_الشمس,شَمْس,B-PERS,noun
محمد,محمد,مُحَمَّد,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
الصائغ,الصائغ,صائِغ,I-PERS,noun
ومحمد,و+_محمد,مُحَمَّد,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
السكري,السكري,سُكَّرِيّ,I-PERS,noun
ومن,و+_من,مِن,O,prep
الشافعية,الشافعية,شافِعِيّ,O,adj
الضياء,الضياء,ضِياء,B-PERS,noun
بن,بن,بِن,I-PERS,noun_prop
سعد,سعد,سَعْد,I-PERS,noun_prop
الله,الله,اللَّه,I-PERS,noun_prop
القزويني,القزويني,قَزْوِينِيّ,I-PERS,adj
والكلائي,والكلائي,والكلائي,B-PERS,noun_prop
مصنف,مصنف,مُصَنَّف,O,adj
المجموع,المجموع,مَجْمُوع,O,noun
والبلقيني,والبلقيني,والبلقيني,B-PERS,noun_prop
وابن,و+_ابن,ٱِبْن,B-PERS,noun
الملقن,الملقن,مُلَقِّن,I-PERS,noun
والابناسي,والابناسي,والابناسي,I-PERS,noun_prop
ومحمد,و+_محمد,مُحَمَّد,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
احمد,أحمد,أَحْمَد,I-PERS,noun_prop
الشامي,الشامي,شامِيّ,I-PERS,noun
والبدر,و+_البدر,بَدْر,B-PERS,noun
حسن,حسن,حَسَن,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
العلاء,العلاء,عَلاء,I-PERS,noun
علي,على,عَلَى,I-PERS,prep
القونوي,القونوي,القونوي,I-PERS,noun_prop
والصدر,و+_الصدر,صَدْر,B-PERS,noun
المناوي,المناوي,مُناوِي,I-PERS,adj
واسماعيل,و+_إسماعيل,إِسْماعِيل,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
ابراهيم,إبراهيم,إِبْراهِيم,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
جماعة,جماعة,جَماعَة,I-PERS,noun
وعبد,و+_عبد,عَبْد,B-PERS,noun_prop
العزيز,العزيز,عَزِيز,I-PERS,noun_prop
السيوطي,السيوطي,السيوطي,I-PERS,noun_prop
ومحمد,و+_محمد,مُحَمَّد,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
عثمان,عثمان,عُثْمان,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
خضر,خضر,خُضْر,I-PERS,noun_prop
ومحمد,و+_محمد,مُحَمَّد,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
ابي,أبي,أَبِي,I-PERS,noun_prop
البقاء,البقاء,بَقاء,I-PERS,noun
السبكي,الNOAN,سبكي,I-PERS,noun_prop
ومن,و+_من,مِن,O,prep
المالكية,المالكية,مالِكِيّ,O,noun
ابن,ابن,ٱِبْن,B-PERS,noun_prop
مرزوق,مرزوق,مَرْزُوق,I-PERS,noun_prop
الكبير,الكبير,كَبِير,I-PERS,adj
والشرف,و+_الشرف,شَرَف,B-PERS,noun
بن,بن,بِن,I-PERS,noun_prop
عسكر,عسكر,عَسْكَر,I-PERS,noun_prop
البغدادي,البغدادي,بَغْدادِيّ,I-PERS,adj
وحمزة,و+_حمزة,حَمْزَة,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
علي,على,عَلَى,I-PERS,prep
الحسيني,الحسيني,حُسَيْنِيّ,I-PERS,noun_prop
والبرهان,و+_البرهان,بُرْهان,B-PERS,noun_prop
الاخنائي,الاخنائي,الاخنائي,I-PERS,noun_prop
واحمد,و+_أحمد,أَحْمَد,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
عمر,عمر,عُمَر,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
علي,على,عَلَى,I-PERS,prep
بن,بن,بِن,I-PERS,noun_prop
هلال,هلال,هِلال,I-PERS,noun_prop
الربعي,الربعي,رُبْعِيّ,I-PERS,adj
ومن,و+_من,مِن,O,prep
الحنابلة,الحنابلة,حَنْبَلِيّ,O,noun_prop
