token,tokenized,lemma,label,pos
يحيى,يحيى,يَحْيَى,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
محمد,محمد,مُحَمَّد,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
سعيد,سعيد,سَعِيد,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
فلاح,ف+_لاح,لاح,I-PERS,verb
بن,بن,بِن,I-PERS,noun_prop
عمر,عمر,عُمَر,I-PERS,noun_prop
الشرف,الشرف,شَرَف,I-PERS,noun
العبسي,العبسي,العبسي,I-PERS,noun_prop
القاهري,القاهري,قاهِرِيّ,O,adj
الشافعي,الشافعي,شافِعِيّ,O,adj
ويعرف,و+_يعرف,عَرَف,O,verb
بالقباني,بالقباني,بالقباني,O,noun_prop
حرفة,حرفه,حَرْف,O,noun
جده,جده,جَدّ,O,noun
واما,و+_إما,إِمّا,O,conj
ابوه,أبوه,أَب,O,noun
فكان,ف+_كان,كان,O,verb
من,من,مِن,O,prep
تجار,تجار,تاجِر,O,noun
الكارم,الكارم,الكارم,O,noun_prop
.,.,.,O,punc
ممن,ممن,مِن,O,prep
يقرا,يقرا,أَقَرّ,O,verb
القران,القرآن,قُرْآن,O,noun_prop
ويكثر,و+_يكثر,كَثُر,O,verb
تلاوته,تلاوته,تِلاوَة,O,noun
بل,بل,بَل,O,conj
قيل,قيل,قال,O,verb
انه,أنه,أَنَّ,O,conj_sub
قرا,قرآ,قَرَأ,O,verb
ربع,ربع,رُبْع,O,noun
المنهاج,المنهاج,مِنْهاج,O,noun
.,.,.,O,punc
ومات,و+_مآت,مَأْتَى,O,noun
سنة,سنة,سَنَة,O,noun
احدى,إحدى,أَحَد,O,noun
وخمسين,و+_خمسين,خَمْس,O,noun
عن,عن,عَن,O,prep
نحو,نحو,نَحْو,O,noun
ثلاث,ثلاث,ثَلاث,O,adj
وستين,و+_ستين,سِتّ,O,noun
ونشا,و+_نشأ,شَأَو,O,verb
ابنه,ابنه,ٱِبْن,O,noun
وكان,و+_كان,كان,O,verb
مولده,مولده,مُوَلِّد,O,noun
في,في,فِي,O,prep
جمادى,جمادى,جُمادَى,O,noun_prop
الاخرة,الآخرة,آخِرَة,O,noun
سنة,سنة,سَنَة,O,noun
سبع,سبع,سَبْع,O,noun
وعشرين,و+_عشرين,عِشْرُون,O,noun
وثمانمائة,و+_ثمانمائة,ثَمانِمائَة,O,noun
بالقاهرة,ب+_القاهرة,قاهِرَة,B-LOC,noun_prop
فحفظ,ف+_حفظ,حِفْظ,O,noun
القران,القرآن,قُرْآن,O,noun_prop
والعمدة,و+_العمدة,عُمْدَة,O,noun
والشاطبية,والشاطبية,والشاطبيه,O,noun_prop
والمنهاج,و+_المنهاج,مِنْهاج,O,noun
والفية,و+_إلفيه,إِلْف,O,noun
النحو,النحو,نَحْو,O,noun
،,،,،,O,punc
وعرض,و+_عرض,عَرَض,O,verb
على,على,عَلَى,O,prep
جماعة,جماعة,جَماعَة,O,noun
منهم,منهم,مِن,O,prep
البساطي,البساطي,البساطي,B-PERS,noun_prop
ولم,و+_لم,لَم,O,part_neg
يجز,يجز,جاز,O,verb
والمحب,و+_المحب,مُحِبّ,B-PERS,noun
بن,بن,بِن,I-PERS,noun_prop
نصر,نصر,نَصْر,I-PERS,noun_prop
الله,الله,اللَّه,I-PERS,noun_prop
الحنبلي,الحنبلي,حَنْبَلِيّ,I-PERS,adj
واجازه,و+_إجازة,إِجازَة,O,noun
والشهاب,و+_الشهاب,شِهاب,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
المجدي,المجدي,مَجْدِي,I-PERS,noun_prop
والزين,و+_الزين,زَيْن,B-PERS,noun
عبادة,عبادة,عِبادَة,O,noun
في,في,فِي,O,prep
اخرين,آخرين,آخَر,O,adj
منهم,منهم,مِن,O,prep
شيخنا,شيخنا,شَيْخ,O,noun
بل,بل,بَل,O,conj
قرا,قرآ,قَرَأ,O,verb
عليه,عليه,عَلَى,O,prep
بعد,بعد,بُعْد,O,noun
الخصال,الخصال,الخصال,O,noun_prop
المكفرة,المكفرة,المكفره,O,noun_prop
وسمع,و+_سمع,سَمِع,O,verb
عليه,عليه,عَلَى,O,prep
بذل,بذل,بَذْل,O,noun
الماعون,الماعون,ماعُون,O,noun
واليسير,و+_اليسير,يَسِير,O,adj
من,من,مِن,O,prep
فتح,فتح,فَتْح,O,noun
الباري,الباري,بارِي,B-MISC,noun_prop
وغير,و+_غير,غَيْر,O,noun
ذلك,ذلك,ذٰلِكَ,O,pron_dem
وتلا,و+_تلا,تَلا,O,verb
للسبع,ل+_السبع,سَبْع,O,adj
جمعا,جمعا,جَمَع,O,verb
على,على,عَلَى,O,prep
الشهاب,الشهاب,شِهاب,O,noun_prop
القلقيلي,القلقيلي,قَلْقِيلِيّ,B-PERS,noun
السكندري,الNOAN,سكندري,O,noun_prop
وقرا,و+_قرآ,قَرَأ,O,verb
عليه,عليه,عَلَى,O,prep
التيسير,التيسير,تَيْسِير,O,noun
للداني,ل+_لداني,لَدْن,B-PERS,noun
وكذا,و+_كذا,كَذا,O,conj
تلا,تلا,تَلا,O,verb
جمعا,جمعا,جَمَع,O,verb
لربع,ل+_ربع,رَبْع,O,noun
القران,القرآن,قُرْآن,O,noun_prop
على,على,عَلَى,O,prep
الزين,الزين,زَيْن,B-PERS,noun
رضوان,رضوان,رِضْوان,I-PERS,noun_prop
وقرا,و+_قرآ,قَرَأ,O,verb
عليه,عليه,عَلَى,O,prep
اشياء,أشياء,شَيْء,O,noun
ولبعضه,و+_ل+_بعضه,بَعْض,O,adj
على,على,عَلَى,O,prep
الشهاب,الشهاب,شِهاب,O,noun_prop
احمد,أحمد,أَحْمَد,B-PERS,noun_prop
الطلياوي,الطلياوي,الطلياوي,I-PERS,noun_prop
والى,و+_إلى,إِلَى,O,prep
المفلحون,المفلحون,مُفْلِح,O,adj
على,على,عَلَى,O,prep
ابن,ابن,ٱِبْن,B-PERS,noun_prop
الحصري,الحصري,حَصْرِيّ,I-PERS,adj
وقرا,و+_قرآ,قَرَأ,O,verb
عليه,عليه,عَلَى,O,prep
مسند,مسند,مُسْنَد,O,adj
الشافعي,الشافعي,شافِعِيّ,B-PERS,adj
وعلى,و+_على,عَلَى,O,prep
الشهاب,الشهاب,شِهاب,B-PERS,noun_prop
العقبي,العقبى,عُقْبَى,B-PERS,noun
واخذ,و+_أخذ,أَخَذ,O,verb
