token,tokenized,lemma,label,pos
جوهر,جوهر,جَوْهَر,B-PERS,noun_prop
التمرازي,التمرازي,التمرازي,I-PERS,noun_prop
تمراز,تمراز,تمراز,B-PERS,noun_prop
الناصري,الناصري,ناصِرِيّ,I-PERS,adj
النائب,النائب,نائِب,O,noun
الحبشي,الحبشي,حَبَشِيّ,I-PERS,noun_prop
.,.,.,O,punc
خدم,خدم,خَدَم,O,verb
بعده,بعده,بُعْد,O,noun
المؤيد,المؤيد,مُؤَيِّد,B-PERS,noun
شيخ,شيخ,شَيْخ,O,noun
وصار,و+_صار,صار,O,verb
من,من,مِن,O,prep
الجمدارية,الجمدارية,الجمداريه,O,noun_prop
الكبار,الكبار,كَبِير,O,noun
ثم,ثم,ثُمَّ,O,adv
بعد,بعد,بُعْد,O,noun
دهر,دهر,دَهْر,O,noun
ولاه,ولاة,والِي,O,noun
الظاهر,الظاهر,ظاهِر,B-PERS,noun
جقمق,جقمق,جقمق,I-PERS,noun_prop
الخازندارية,الخازندارية,الخازنداريه,O,noun_prop
بعد,بعد,بُعْد,O,noun
موت,موت,مَوْت,O,noun
جوهر,جوهر,جَوْهَر,B-PERS,noun_prop
القنقباي,القنقباي,القنقباي,I-PERS,noun_prop
فحسنت,ف+_حسنت,حَسَّن,O,verb
مباشرته,مباشرته,مُباشَرَة,O,noun
ولم,و+_لم,لَم,O,part_neg
يلبث,يلبث,لَبِث,O,verb
ان,أن,أَنَّ,O,conj_sub
عزل,عزل,عَزْل,O,noun
بفيروز,ب+_فيروز,فَيْرُوز,B-PERS,noun_prop
النوروزي,النوروزي,النوروزي,I-PERS,noun_prop
الرومي,الرومي,رُومِيّ,I-PERS,noun_prop
بل,بل,بَل,O,conj
وصودر,و+_صودر,صادَر,O,verb
وسجن,و+_سجن,سِجْن,O,noun
ثم,ثم,ثُمَّ,O,adv
اطلق,أطلق,أَطْلَق,O,verb
واقام,و+_أقام,أَقام,O,verb
بطالا,بطالا,بَطّال,O,noun
الى,إلى,إِلَى,O,prep
ان,أن,أَنَّ,O,conj_sub
ولي,ولي,وَلِيّ,O,noun
مشيخة,مشيخة,مَشْيَخَة,O,noun
الخدام,الخدام,خَدّام,O,noun
بالحرم,ب+_الحرم,حَرَم,B-LOC,noun
النبوي,النبوي,نَبَوِيّ,I-LOC,adj
بعد,بعد,بُعْد,O,noun
موت,موت,مَوْت,O,noun
فيروز,فيروز,فَيْرُوز,B-PERS,noun_prop
الركني,الركني,رُكْنِيّ,I-PERS,adj
،,،,،,O,punc
وتوجه,و+_توجه,تَوَجَّه,O,verb
الى,إلى,إِلَى,O,prep
المدينة,المدينة,مَدِينَة,B-LOC,noun
في,في,فِي,O,prep
سنة,سنة,سَنَة,O,noun
تسع,تسع,تِسْع,O,adj
واربعين,و+_أربعين,أَرْبَع,O,noun
فاقام,ف+_أقام,أَقام,O,verb
بها,بها,بِ,O,prep
حتى,حتى,حَتَّى,O,prep
مات,مات,مات,O,verb
في,في,فِي,O,prep
اواخر,أواخر,آخِر,O,noun
التي,التي,الَّذِي,O,pron_rel
بعدها,بعدها,بُعْد,O,noun
بعد,بعد,بُعْد,O,noun
ان,أن,أَنَّ,O,conj_sub
تمرض,تمرض,مَرِض,O,verb
اياما,أياما,يَوْم,O,noun
وهو,و+_هو,هُوَ,O,pron
في,في,فِي,O,prep
الخمسين,الخمسين,خَمْس,O,noun
تقريبا,تقريبا,تَقْرِيب,O,noun
،,،,،,O,punc
واستقر,و+_استقر,ٱِسْتَقَرّ,O,verb
بعده,بعده,بُعْد,O,noun
في,في,فِي,O,prep
المشيخة,المشيخة,مَشْيَخَة,O,noun
فارس,فارس,فارِس,O,noun_prop
كبير,كبير,كَبِير,O,adj
الطواشية,الطواشية,طَواشِيّ,O,noun
هناك,هناك,هُناكَ,O,adv
وكان,و+_كان,كان,O,verb
مليح,مليح,مَلِيح,O,adj
الشكل,الشكل,شَكْل,O,noun
كريما,كريما,كَرِيم,O,adj
ذا,ذا,ذُو,O,noun
حشمة,حشمة,حِشْمَة,O,noun
وتواضع,و+_تواضع,تَواضُع,O,noun
وذوق,و+_ذوق,ذَوْق,O,noun
،,،,،,O,punc
محبا,محبا,مُحِبّ,O,noun
في,في,فِي,O,prep
النادرة,النادرة,نادِر,O,adj
والنكتة,و+_النكتة,نُكْتَة,O,noun
سريع,سريع,سَرِيع,O,adj
الفهم,الفهم,فَهْم,O,noun
لها,لها,لِ,O,prep
عفا,عفا,عَفا,O,verb
الله,الله,اللَّه,B-MISC,noun_prop
عنه,عنه,عَن,O,prep
.,.,.,O,punc
ذكره,ذكره,ذَكَر,O,verb
العيني,العيني,عَيْنِيّ,B-PERS,adj
باختصار,ب+_اختصار,ٱِخْتِصار,O,noun
.,.,.,O,punc
