token,tokenized,lemma,label,pos
محمد,محمد,مُحَمَّد,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
عبد,عبد,عَبْد,I-PERS,noun_prop
الله,الله,اللَّه,I-PERS,noun_prop
التركماني,التركماني,التركماني,I-PERS,noun_prop
القبيباتي,القبيباتي,القبيباتي,I-PERS,noun_prop
الدمشقي,الدمشقي,دِمَشْقِيّ,O,adj
ويعرف,و+_يعرف,عَرَف,O,verb
بالقواس,ب+_القواس,قَوّاس,O,noun
.,.,.,O,punc
شيخ,شيخ,شَيْخ,O,noun
صالح,صالح,صالِح,O,noun_prop
زاهد,زاهد,زاهِد,O,noun
عابد,عابد,عابِد,O,noun_prop
له,له,لِ,O,prep
زاوية,زاوية,زاوِيَة,O,noun
غربي,غربي,غَرْبِيّ,O,adj
المصلى,المصلي,مُصَلِّي,O,noun
ظاهر,ظاهر,ظاهِر,O,noun_prop
دمشق,دمشق,دِمَشْق,B-LOC,noun_prop
مقيم,مقيم,مُقِيم,O,noun
بها,بها,بِ,O,prep
وله,و+_له,لِ,O,prep
اصحاب,أصحاب,صاحِب,O,noun
ومريدون,و+_مريدون,مُرِيد,O,noun
وحلقة,و+_حلقة,حَلْقَة,O,noun
ذكر,ذكر,ذَكَر,O,verb
بالجامع,ب+_الجامع,جامِع,O,noun
الاموي,الأموي,أُمَوِيّ,I-MISC,adj
عظيمة,عظيمة,عَظِيم,O,adj
مقصود,مقصود,مَقْصُود,O,noun
بالزيارة,ب+_الزيارة,زِيارَة,O,noun
،,،,،,O,punc
وكان,و+_كان,كان,O,verb
ممن,ممن,مِن,O,prep
صاحب,صاحب,صاحِب,O,noun
ابا,أبا,أَب,B-PERS,noun
بكر,بكر,بَكْر,I-PERS,noun_prop
الموصلي,الموصلي,مَوْصِلِيّ,I-PERS,noun
دهرا,دهرا,دَهْر,O,noun
وغيره,و+_غيره,غَيْر,O,noun
من,من,مِن,O,prep
الاكابر,الأكابر,أَكْبَر,O,noun
.,.,.,O,punc
قال,قال,قال,O,verb
التقي,التقى,ٱِلْتَقَى,B-PERS,verb
بن,بن,بِن,I-PERS,noun_prop
قاضي,قاضي,قاضِي,I-PERS,noun
شهبة,شهبه,شِهاب,I-PERS,noun
:,:,:,O,punc
وكان,و+_كان,كان,O,verb
يجيد,يجيد,أَجاد,O,verb
تعبير,تعبير,تَعْبِير,O,noun
الرؤيا,الرؤيا,رُؤَى,O,noun
عن,عن,عَن,O,prep
صلاح,صلاح,صَلاح,O,noun_prop
لا,لا,لا,O,part_neg
علم,علم,عَلِم,O,verb
.,.,.,O,punc
مات,مات,مات,O,verb
بزاويته,ب+_زاويته,زاوِيَة,O,noun
عن,عن,عَن,O,prep
ازيد,أزيد,زاد,O,verb
من,من,مِن,O,prep
مائة,مائة,مِئَة,O,noun
فيما,فيما,ما,O,conj_sub
قيل,قيل,قال,O,verb
ليلة,ليلة,لَيْلَة,O,noun
الجمعة,الجمعة,جُمْعَة,O,noun_prop
سادس,سادس,سادِس,O,adj
ذي,ذي,ذُو,O,noun
القعدة,القعدة,قَعْدَة,O,noun
سنة,سنة,سَنَة,O,noun
ست,ست,سِتّ,O,noun
واربعين,و+_أربعين,أَرْبَع,O,noun
ولم,و+_لم,لَم,O,part_neg
يظهر,يظهر,أَظْهَر,O,verb
عليه,عليه,عَلَى,O,prep
الهرم,الهرم,هَرَم,O,noun
رحمه,رحمه,رَحِم,O,verb
الله,الله,اللَّه,B-MISC,noun_prop
.,.,.,O,punc
