token,tokenized,lemma,label,pos
احمد,أحمد,أَحْمَد,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
اسماعيل,إسماعيل,إِسْماعِيل,I-PERS,noun_prop
الشهاب,الشهاب,شِهاب,I-PERS,noun_prop
الابشيطي,الابشيطي,الابشيطي,I-PERS,noun_prop
القاهري,القاهري,قاهِرِيّ,O,adj
الشافعي,الشافعي,شافِعِيّ,O,adj
الواعظ,الواعظ,واعِظ,O,noun
.,.,.,O,punc
ولد,ولد,وَلَد,O,verb
سنة,سنة,سَنَة,O,noun
ستين,ستين,سِتّ,O,noun
وسبعمائة,و+_سبعمائة,سَبْعمائَة,O,noun
تقريبا,تقريبا,تَقْرِيب,O,noun
تفقه,تفقه,فاق,O,verb
قليلا,قليلا,قَلِيل,O,adj
ولزم,و+_لزم,لَزِم,O,verb
قريبه,قريبة,قَرِيب,O,adj
الصدر,الصدر,صَدْر,O,noun
الابشيطي,الابشيطي,الابشيطي,B-PERS,noun_prop
وادب,و+_أدب,أَدَب,O,noun
جماعة,جماعة,جَماعَة,O,noun
من,من,مِن,O,prep
اولاد,أولاد,وَلَد,O,noun
الكبار,الكبار,كَبِير,O,noun
ولهج,و+_لهج,لَهِج,O,verb
بالسيرة,ب+_السيرة,سِيرَة,O,noun
البنوية,البنوية,بَنَوِيّ,O,adj
فكتب,ف+_كتب,كِتاب,O,noun
منها,منها,مِن,O,prep
كثيرا,كثيرا,كَثِير,O,adv
الى,إلى,إِلَى,O,prep
ان,أن,أَنَّ,O,conj_sub
شرع,شرع,شَرْع,O,noun
في,في,فِي,O,prep
جمع,جمع,جَمْع,O,noun
كتاب,كتاب,كِتاب,O,noun
حافل,حافل,حافِل,O,noun
فيها,فيها,فِي,O,prep
كتب,كتب,كَتَب,O,verb
منه,منه,مِن,O,prep
نحو,نحو,نَحْو,O,noun
ثلاثين,ثلاثين,ثَلاث,O,noun
سفرا,سفرا,سَفَر,O,noun
يحتوي,يحتوي,ٱِحْتَوَى,O,verb
على,على,عَلَى,O,prep
سيرة,سيرة,سِيرَة,O,noun
ابن,ابن,ٱِبْن,B-PERS,noun_prop
اسحاق,إسحاق,إِسْحاق,I-PERS,noun_prop
مع,مع,مَع,O,prep
ما,ما,ما,O,pron_rel
كتبه,كتبه,كَتَب,O,verb
السهيلي,السهيلي,السهيلي,B-PERS,noun_prop
وغيره,و+_غيره,غَيْر,O,noun
عليها,عليها,عَلَى,O,prep
وما,و+_ما,ما,O,pron_rel
اشتملت,اشتملت,ٱِشْتَمَل,O,verb
عليه,عليه,عَلَى,O,prep
البداية,البداية,بِدايَة,O,noun
للعماد,ل+_العماد,عِماد,B-PERS,noun
بن,بن,بِن,I-PERS,noun_prop
كثير,كثير,كَثِير,I-PERS,noun
وعلى,و+_على,عَلَى,O,prep
ما,ما,ما,O,pron_rel
احتوت,احتوت,ٱِحْتَوَى,O,verb
عليه,عليه,عَلَى,O,prep
المغازي,المغازي,مَغْزَى,O,noun
للواقدي,للواقدي,للواقدي,O,noun_prop
وغير,و+_غير,غَيْر,O,noun
ذلك,ذلك,ذٰلِكَ,O,pron_dem
ضابطا,ضابطا,ضابِط,O,noun
للالفاظ,ل+_الألفاظ,لَفْظ,O,noun
الواقعة,الواقعة,واقِع,O,noun
فيها,فيها,فِي,O,prep
وكان,و+_كان,كان,O,verb
يتكلم,يتكلم,تَكَلَّم,O,verb
على,على,عَلَى,O,prep
الناس,الناس,ناس,O,noun
في,في,فِي,O,prep
الجامع,الجامع,جامِع,O,noun
الازهر,الأزهر,أَزْهَر,I-ORG,noun
.,.,.,O,punc
مات,مات,مات,O,verb
في,في,فِي,O,prep
سلخ,سلخ,سَلْخ,O,noun
شوال,شوال,شُوال,O,noun
سنة,سنة,سَنَة,O,noun
خمس,خمس,خَمْس,O,adj
وثلاثين,و+_ثلاثين,ثَلاث,O,noun
وقد,و+_قد,قَدْ,O,part_verb
جاز,جاز,جاز,O,verb
السبعين,السبعين,سَبْع,O,noun
.,.,.,O,punc
ذكره,ذكره,ذَكَر,O,verb
شيخنا,شيخنا,شَيْخ,O,noun
في,في,فِي,O,prep
الانباء,الأنباء,نَبَأ,O,noun
والمعجم,و+_المعجم,مُعْجَم,O,noun
والمقريزي,والمقريزي,والمقريزي,B-PERS,noun_prop
في,في,فِي,O,prep
عقوده,عقوده,عَقْد,O,noun
وقد,و+_قد,قَدْ,O,part_verb
شارك,شارك,شارَك,O,verb
الشهاب,الشهاب,شِهاب,B-PERS,noun_prop
الابشيطي,الابشيطي,الابشيطي,I-PERS,noun_prop
الماضي,الماضي,ماضِي,O,adj
في,في,فِي,O,prep
اسمه,اسمه,ٱِسْم,O,noun
واسم,و+_اسم,ٱِسْم,O,noun
ابيه,أبيه,أَب,O,noun
ونسبته,و+_نسبته,نِسْبَة,O,noun
.,.,.,O,punc
