token,tokenized,lemma,label,pos
احمد,أحمد,أَحْمَد,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
احمد,أحمد,أَحْمَد,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
عبد,عبد,عَبْد,I-PERS,noun_prop
الرحمن,الرحمن,رَحْمٰن,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
الشيخ,الشيخ,شَيْخ,I-PERS,noun_prop
عبد,عبد,عَبْد,I-PERS,noun_prop
الواحد,الواحد,واحِد,I-PERS,noun
بن,بن,بِن,I-PERS,noun_prop
معمر,معمر,مُعَمَّر,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
عبود,عبود,عَبُّود,I-PERS,noun_prop
الشهاب,الشهاب,شِهاب,I-PERS,noun_prop
السخاوي,السخاوي,السخاوي,I-PERS,noun_prop
ثم,ثم,ثُمَّ,O,adv
القاهري,القاهري,قاهِرِيّ,B-PERS,adj
الشافعي,الشافعي,شافِعِيّ,I-PERS,adj
.,.,.,O,punc
ولد,ولد,وَلَد,O,verb
في,في,فِي,O,prep
سنة,سنة,سَنَة,O,noun
ثلاث,ثلاث,ثَلاث,O,adj
وخمسين,و+_خمسين,خَمْس,O,noun
وثمانمائة,و+_ثمانمائة,ثَمانِمائَة,O,noun
بسخا,بسخا,بسخا,B-LOC,noun_prop
وقرا,و+_قرآ,قَرَأ,O,verb
بها,بها,بِ,O,prep
القران,القرآن,قُرْآن,B-MISC,noun_prop
وتلا,و+_تلا,تَلا,O,verb
به,به,بِ,O,prep
للسبع,ل+_السبع,سَبْع,O,adj
على,على,عَلَى,O,prep
امام,أمام,أَمام,O,noun
جامع,جامع,جامِع,O,noun
الغمري,الغمري,الغمري,B-ORG,noun_prop
بالمحلة,ب+_المحلة,مَحَلَّة,B-LOC,noun
قاسم,قاسم,قاسِم,B-PERS,noun_prop
وللثلاث,و+_ل+_الثلاث,ثَلاث,O,adj
على,على,عَلَى,O,prep
الشهاب,الشهاب,شِهاب,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
جليدة,جليده,جَلِيد,I-PERS,noun
