token,tokenized,lemma,label,pos
ابن,ابن,ٱِبْن,O,noun_prop
الحلاوي,الحلاوى,حَلاوَى,I-PERS,noun_prop
محمد,محمد,مُحَمَّد,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
يوسف,يوسف,يُوسِف,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
ابي,أبي,أَبِي,I-PERS,noun_prop
بكر,بكر,بَكْر,I-PERS,noun_prop
وابن,و+_ابن,ٱِبْن,O,noun
اخيه,أخيه,وَخَى,O,verb
البدر,البدر,بَدْر,O,noun
محمد,محمد,مُحَمَّد,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
ابي,أبي,أَبِي,I-PERS,noun_prop
بكر,بكر,بَكْر,I-PERS,noun_prop
وولده,و+_ولده,وَلَد,O,noun
ابو,أبو,أَبُو,B-PERS,noun_prop
بكر,بكر,بَكْر,I-PERS,noun_prop
.,.,.,O,punc
