token,tokenized,lemma,label,pos
محمد,محمد,مُحَمَّد,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
عبد,عبد,عَبْد,I-PERS,noun_prop
العزيز,العزيز,عَزِيز,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
احمد,أحمد,أَحْمَد,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
محمد,محمد,مُحَمَّد,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
عبد,عبد,عَبْد,I-PERS,noun_prop
الوهاب,الوهاب,وَهّاب,I-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
اسد,أسد,أَسَد,I-PERS,noun_prop
جمال,جمال,جَمال,I-PERS,noun_prop
الدين,الدين,دِين,I-PERS,noun
ابن,ابن,ٱِبْن,I-PERS,noun_prop
العز,العز,عِزّ,I-PERS,noun
بن,بن,بِن,I-PERS,noun_prop
العماد,العماد,عِماد,I-PERS,noun
الفيومي,الفيومي,فَيُّومِيّ,I-PERS,adj
الاصل,الأصل,أَصْل,O,noun
المكي,المكي,مَكِّيّ,O,adj
ثم,ثم,ثُمَّ,O,adv
القاهري,القاهري,قاهِرِيّ,B-PERS,adj
الشافعي,الشافعي,شافِعِيّ,I-PERS,adj
اخو,أخو,أَخ,O,noun
عمر,عمر,عُمَر,B-PERS,noun_prop
الماضي,الماضي,ماضِي,I-PERS,adj
وابوهما,و+_أبوهما,أَب,O,noun
ولد,ولد,وَلَد,O,verb
بمكة,ب+_مكة,مَكَّة,B-LOC,noun_prop
ونشا,و+_نشأ,شَأَو,O,verb
بها,بها,بِ,O,prep
فحفظ,ف+_حفظ,حِفْظ,O,noun
القران,القرآن,قُرْآن,O,noun_prop
ثم,ثم,ثُمَّ,O,adv
قدم,قدم,قَدَّم,O,verb
القاهرة,القاهرة,قاهِرَة,B-LOC,noun_prop
وزوجه,و+_زوجه,زَوْج,O,noun
ابوه,أبوه,أَب,O,noun
ابنة,ابنة,ٱِبْنَة,O,noun
الشريف,الشريف,شَرِيف,B-PERS,adj
الوفائي,الوفائي,الوفائي,I-PERS,noun_prop
الحنفي,الحنفي,حَنَفِيّ,I-PERS,noun_prop
طمعا,طمعا,طَمَع,O,noun
في,في,فِي,O,prep
ان,أن,أَنَّ,O,conj_sub
يكون,يكون,كان,O,verb
شاهدا,شاهدا,شاهِد,O,noun
عنده,عنده,عِنْد,O,noun
فلم,ف+_لم,لَم,O,part_neg
يحصل,يحصل,حَصَل,O,verb
اتفاق,اتفاق,ٱِتِّفاق,O,noun
ولازم,و+_ل+_إزم,أَزْمَة,O,noun
زكريا,زكريا,زَكَرِيّا,B-PERS,noun_prop
فاستنابه,فاستنابه,فاستنابه,O,noun_prop
في,في,فِي,O,prep
القضاء,القضاء,قَضاء,O,noun
وجلس,و+_جلس,جَلَس,O,verb
بمجلس,ب+_مجلس,مَجْلِس,O,noun
النووي,النووي,نَوَوِيّ,B-PERS,adj
السراج,السراج,سِراج,I-PERS,noun
فلم,ف+_لم,لَم,O,part_neg
يحتمل,يحتمل,ٱِحْتَمَل,O,verb
ذلك,ذلك,ذٰلِكَ,O,pron_dem
فحوله,ف+_حوله,حَوَّل,O,verb
لمجلس,ل+_مجلس,مَجْلِس,O,noun
الجمالية,الجمالية,جَمالِيّ,O,adj
ثم,ثم,ثُمَّ,O,adv
لغيره,ل+_غيره,غَيْر,O,noun
بل,بل,بَل,O,conj
صار,صار,صار,O,verb
من,من,مِن,O,prep
قضاة,قضاة,قاضِي,O,noun
النوبة,النوبة,نُوبِيّ,B-LOC,noun_prop
عوض,عوض,عَوَض,O,noun_prop
المحب,المحب,مُحِبّ,O,noun
الاسيوطي,الأسيوطي,أَسْيُوطِيّ,I-PERS,adj
مع,مع,مَع,O,prep
مجلس,مجلس,مَجْلِس,O,noun
بقناطر,ب+_قناطر,قَنْطَرَة,O,noun
السباع,السباع,سَبْع,O,noun
وعد,وعد,وَعَد,O,verb
كل,كل,كُلّ,O,noun
هذا,هذا,هٰذا,O,pron_dem
من,من,مِن,O,prep
القبائح,القبائح,قَبِيحَة,O,noun
وانكر,و+_أنكر,أَنْكَر,O,verb
ولايته,ولايته,وِلايَة,O,noun
السلطان,السلطان,سُلْطان,O,noun
فمن,ف+_من,مِن,O,prep
دونه,دونه,دُون,O,noun
.,.,.,O,punc
مات,مات,مات,O,verb
بالطاعون,ب+_الطاعون,طاعُون,O,noun
في,في,فِي,O,prep
سنة,سنة,سَنَة,O,noun
سبع,سبع,سَبْع,O,noun
وتسعين,و+_تسعين,سَعَى,O,verb
وخلفه,و+_خلفه,خَلْف,O,noun
في,في,فِي,O,prep
مجلسه,مجلسه,مَجْلِس,O,noun
ابو,أبو,أَبُو,B-PERS,noun_prop
الفوز,الفوز,فَوْز,I-PERS,noun
بن,بن,بِن,I-PERS,noun_prop
زين,زين,زَيْن,I-PERS,noun_prop
الدين,الدين,دِين,I-PERS,noun
وقيل,و+_قيل,قال,O,verb
ردونا,ردونا,رَدّ,O,verb
الى,إلى,إِلَى,O,prep
الاول,الأول,أَوَّل,O,adj
.,.,.,O,punc
محمد,محمد,مُحَمَّد,B-PERS,noun_prop
بن,بن,بِن,I-PERS,noun_prop
